,chembl_id,IC50,unit,Smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
403,CHEMBL2071217,12,nM,NC(=O)[C@@H]1[C@H](Nc2nc(Nc3cnn(Cc4ccccc4)c3)ncc2Cl)[C@H]2C=C[C@@H]1C2,7.920818754,435.157436,7,3,3.2063,TRUE
404,CHEMBL3675379,12,nM,NC(=O)c1cccc2c(NCc3cccc(C(F)(F)F)c3)ccnc12,7.920818754,345.1088967,3,2,3.9646,TRUE
405,CHEMBL3957869,12,nM,CCc1ccc(-c2nc(C(N)=O)c(-c3ccc(N4CCNC(C)(C)C4)cc3)o2)c2cc[nH]c12,7.920818754,443.2321252,5,3,4.3394,TRUE
406,CHEMBL3393497,12,nM,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1cccc(Oc2nc3ccccc3[nH]2)c1,7.920818754,468.1797552,6,3,5.4245,TRUE
407,CHEMBL3393481,12,nM,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3cccnc3[nH]2)o1,7.920818754,475.1314252,8,3,4.7714,TRUE
408,CHEMBL3685246,12,nM,COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cc(CCCCO)cc34)c2)cc1,7.920818754,499.2219544,7,4,3.9167,TRUE
409,CHEMBL2022968,12.4,nM,CN1CCN(Cc2ccc(Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)N(C)C)n3)cc2)CC1,7.906578315,515.1870219,8,2,3.6149,TRUE
410,CHEMBL2023221,13,nM,CNC(=O)c1cnc(N)c2c(-c3ccc(NC(=O)Nc4cccc(C)c4)cc3)csc12,7.886056648,431.1415959,5,4,4.85752,TRUE
411,CHEMBL3675381,13,nM,NC(=O)c1cc(N)cc2c(NCc3ccc(Cl)c(C(F)(F)F)c3)ncnc12,7.886056648,395.0760724,5,3,3.5952,TRUE
412,CHEMBL2011941,13,nM,O=C(NCCCNc1c(Br)cnc2[nH]c(-c3ccc(OCCN4CCCCC4)cc3)nc12)C1CCC1,7.886056648,554.2004865,6,3,4.9704,TRUE
413,CHEMBL4114812,13,nM,NC(=O)c1cccc2c(NCC3CC=C/C(=N/C(O)c4c[nH]c5ncccc45)C3)ncnc12,7.886056648,441.191323,7,4,3.1152,TRUE
414,CHEMBL3680451,13,nM,CNCCOc1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,7.886056648,470.2066387,7,4,3.1913,TRUE
415,CHEMBL1673047,13,nM,CN1C(=O)c2ccccc2N(C)c2nc(Nc3ccc(S(N)(=O)=O)cc3)ncc21,7.886056648,410.1161094,7,2,2.2255,TRUE
