miRNA,mRNA
gma-miR5041-3p,GLYMA01G43821
gma-miR5041-3p,GLYMA18G05860
gma-miR5041-3p,GLYMA14G06485
gma-miR5041-3p,GLYMA09G37290
gma-miR5041-3p,GLYMA09G37290
gma-miR5041-3p,GLYMA15G09316
gma-miR5041-3p,GLYMA01G33480
gma-miR5041-3p,GLYMA01G33500
gma-miR5041-3p,GLYMA03G03410
gma-miR5041-3p,GLYMA03G03390
gma-miR5041-3p,GLYMA13G06880
gma-miR5041-3p,GLYMA02G45520
gma-miR5041-3p,GLYMA0048S00270
gma-miR5041-3p,GLYMA05G30530
gma-miR5041-3p,GLYMA08G13680
gma-miR5041-3p,GLYMA17G06190
gma-miR5041-3p,GLYMA13G16480
gma-miR5041-3p,GLYMA16G24400
gma-miR5041-3p,GLYMA04G40030
gma-miR5041-3p,GLYMA19G05570
gma-miR5041-3p,GLYMA19G05570
gma-miR5041-3p,GLYMA13G07110
gma-miR5041-3p,GLYMA19G05580
gma-miR5041-3p,GLYMA05G15210
gma-miR5041-3p,GLYMA10G33851
gma-miR5041-3p,GLYMA10G33851
gma-miR5041-3p,GLYMA10G33851
gma-miR5041-3p,GLYMA04G35710
gma-miR5041-3p,GLYMA04G35710
gma-miR5041-3p,GLYMA08G06020
gma-miR5041-3p,GLYMA18G32840
gma-miR2109-5p,GLYMA08G40646
gma-miR2109-5p,GLYMA16G10340
gma-miR2109-5p,GLYMA02G08430
gma-miR2109-5p,GLYMA02G03760
gma-miR2109-5p,GLYMA16G10287
gma-miR2109-5p,GLYMA16G10080
gma-miR2109-5p,GLYMA16G34094
gma-miR2109-5p,GLYMA18G16790
gma-miR2109-5p,GLYMA18G16790
gma-miR2109-5p,GLYMA20G02472
gma-miR2109-5p,GLYMA13G03770
gma-miR2109-5p,GLYMA13G03770
gma-miR2109-5p,GLYMA13G03770
gma-miR2109-5p,GLYMA03G14888
gma-miR2109-5p,GLYMA01G03921
gma-miR2109-5p,GLYMA01G03921
gma-miR2109-5p,GLYMA10G37640
gma-miR2109-5p,GLYMA16G33616
gma-miR2109-5p,GLYMA16G33616
gma-miR2109-5p,GLYMA14G23930
gma-miR2109-5p,GLYMA15G16370
gma-miR2109-5p,GLYMA06G41896
gma-miR2109-5p,GLYMA16G26311
gma-miR2109-5p,GLYMA09G24881
gma-miR2109-5p,GLYMA06G41714
gma-miR2109-5p,GLYMA06G41896
gma-miR2109-5p,GLYMA06G41896
gma-miR2109-5p,GLYMA06G41896
gma-miR2109-5p,GLYMA06G41714
gma-miR2109-5p,GLYMA06G41896
gma-miR2109-5p,GLYMA08G41560
gma-miR2109-5p,GLYMA18G14810
gma-miR2109-5p,GLYMA18G14810
gma-miR2109-5p,GLYMA02G02790
gma-miR2109-5p,GLYMA08G41560
gma-miR2109-5p,GLYMA08G41560
gma-miR2109-5p,GLYMA02G02790
gma-miR2109-5p,GLYMA06G22372
gma-miR2109-5p,GLYMA02G02790
gma-miR2109-5p,GLYMA03G34590
gma-miR2109-5p,GLYMA16G33910
gma-miR2109-5p,GLYMA16G33930
gma-miR2109-5p,GLYMA16G34000
gma-miR2109-5p,GLYMA16G33971
gma-miR2109-5p,GLYMA16G34111
gma-miR2109-5p,GLYMA16G33991
gma-miR2109-5p,GLYMA16G34060
gma-miR2109-5p,GLYMA01G06750
gma-miR2109-5p,GLYMA01G06750
gma-miR2109-5p,GLYMA01G06750
gma-miR2109-5p,GLYMA15G05480
gma-miR2109-5p,GLYMA15G05480
gma-miR3522,GLYMA15G06081
gma-miR3522,GLYMA07G31262
gma-miR3522,GLYMA07G31270
gma-miR3522,GLYMA07G31301
gma-miR3522,GLYMA16G02030
gma-miR3522,GLYMA16G02030
gma-miR3522,GLYMA16G02030
gma-miR3522,GLYMA13G16932
gma-miR3522,GLYMA13G16932
gma-miR3522,GLYMA13G16932
gma-miR3522,GLYMA13G16932
gma-miR3522,GLYMA01G36450
gma-miR3522,GLYMA13G27580
gma-miR3522,GLYMA02G41483
gma-miR3522,GLYMA05G31600
gma-miR3522,GLYMA20G23430
gma-miR3522,GLYMA13G44650
gma-miR3522,GLYMA12G14130
gma-miR3522,GLYMA18G49203
gma-miR3522,GLYMA16G05410
gma-miR3522,GLYMA15G09810
gma-miR3522,GLYMA19G32500
gma-miR3522,GLYMA04G43220
gma-miR3522,GLYMA04G24950
gma-miR3522,GLYMA06G30030
gma-miR3522,GLYMA06G30030
gma-miR3522,GLYMA11G37820
gma-miR3522,GLYMA07G31254
gma-miR3522,GLYMA13G25181
gma-miR3522,GLYMA13G21131
gma-miR3522,GLYMA07G05510
gma-miR3522,GLYMA07G05510
gma-miR3522,GLYMA07G05510
gma-miR3522,GLYMA10G12210
gma-miR3522,GLYMA04G14361
gma-miR3522,GLYMA13G37220
gma-miR3522,GLYMA01G04791
gma-miR3522,GLYMA01G04791
gma-miR3522,GLYMA01G04791
gma-miR3522,GLYMA04G01990
gma-miR3522,GLYMA15G13030
gma-miR3522,GLYMA09G02130
gma-miR3522,GLYMA16G30171
gma-miR3522,GLYMA12G28940
gma-miR3522,GLYMA12G28940
gma-miR3522,GLYMA02G39680
gma-miR3522,GLYMA03G39570
gma-miR3522,GLYMA03G39570
gma-miR3522,GLYMA06G18956
gma-miR3522,GLYMA18G15065
gma-miR1510b-3p,GLYMA16G25097
gma-miR1510b-3p,GLYMA16G24940
gma-miR1510b-3p,GLYMA19G07680
gma-miR1510b-3p,GLYMA04G39741
gma-miR1510b-3p,GLYMA18G14655
gma-miR1510b-3p,GLYMA06G36321
gma-miR1510b-3p,GLYMA06G15123
gma-miR1510b-3p,GLYMA15G37255
gma-miR1510b-3p,GLYMA15G37276
gma-miR1510b-3p,GLYMA15G37276
gma-miR1510b-3p,GLYMA15G37276
gma-miR1510b-3p,GLYMA15G37255
gma-miR1510b-3p,GLYMA16G26311
gma-miR1510b-3p,GLYMA19G07650
gma-miR1510b-3p,GLYMA19G07650
gma-miR1510b-3p,GLYMA19G02670
gma-miR1510b-3p,GLYMA19G07650
gma-miR1510b-3p,GLYMA19G07650
gma-miR1510b-3p,GLYMA16G25045
gma-miR1510b-3p,GLYMA16G25045
gma-miR1510b-3p,GLYMA16G25170
gma-miR1510b-3p,GLYMA16G25071
gma-miR1510b-3p,GLYMA16G25071
gma-miR1510b-3p,GLYMA16G25071
gma-miR1510b-3p,GLYMA02G08415
gma-miR1510b-3p,GLYMA06G22372
gma-miR1510b-3p,GLYMA19G07700
gma-miR1510b-3p,GLYMA19G07700
gma-miR1510b-3p,GLYMA19G07700
gma-miR1510b-3p,GLYMA02G34965
gma-miR1510b-3p,GLYMA16G27544
gma-miR1510b-3p,GLYMA16G27510
gma-miR1510b-3p,GLYMA12G27800
gma-miR1510b-3p,GLYMA16G22620
gma-miR1510b-3p,GLYMA02G04750
gma-miR1510b-3p,GLYMA0220S50
gma-miR1510b-3p,GLYMA16G27560
gma-miR1510b-3p,GLYMA18G14810
gma-miR1510b-3p,GLYMA18G14810
gma-miR1510b-3p,GLYMA02G46620
gma-miR1510b-3p,GLYMA08G44090
gma-miR1510b-3p,GLYMA16G25140
gma-miR1510b-3p,GLYMA16G25140
gma-miR1510b-3p,GLYMA15G39642
gma-miR1510b-3p,GLYMA15G39642
gma-miR1510b-3p,GLYMA15G39642
gma-miR1510b-3p,GLYMA16G25120
gma-miR1510b-3p,GLYMA16G24920
gma-miR1510b-3p,GLYMA16G23800
gma-miR1510b-3p,GLYMA16G27521
gma-miR1510b-3p,GLYMA13G43880
gma-miR1510b-3p,GLYMA15G01460
gma-miR1510b-3p,GLYMA15G01460
gma-miR1510b-3p,GLYMA05G03365
gma-miR1510b-3p,GLYMA13G03770
gma-miR1510b-3p,GLYMA12G15850
gma-miR1510b-3p,GLYMA13G03770
gma-miR1510b-3p,GLYMA13G03770
gma-miR1510b-3p,GLYMA06G43850
gma-miR1510b-3p,GLYMA06G43850
gma-miR1510b-3p,GLYMA12G34020
gma-miR1510b-3p,GLYMA12G36880
gma-miR1510b-3p,GLYMA12G36880
gma-miR1510b-3p,GLYMA13G26230
gma-miR1510b-3p,GLYMA15G05100
gma-miR1510b-3p,GLYMA15G05100
gma-miR1510b-3p,GLYMA08G19950
gma-miR1510b-3p,GLYMA08G41560
gma-miR1510b-3p,GLYMA08G41560
gma-miR1510b-3p,GLYMA08G41560
gma-miR1510b-3p,GLYMA16G09963
gma-miR1510b-3p,GLYMA16G09981
gma-miR1510b-3p,GLYMA08G20350
gma-miR1510b-3p,GLYMA07G07393
gma-miR1510b-3p,GLYMA17G15370
gma-miR1510b-3p,GLYMA16G10080
gma-miR1510b-3p,GLYMA17G15370
gma-miR1510b-3p,GLYMA12G01780
gma-miR1510b-3p,GLYMA16G03780
gma-miR1510b-3p,GLYMA03G23215
gma-miR1510b-3p,GLYMA01G27440
gma-miR1510b-3p,GLYMA01G27440
gma-miR1510b-3p,GLYMA15G37283
gma-miR1510b-3p,GLYMA06G46665
gma-miR2606b,GLYMA06G09680
gma-miR2606b,GLYMA12G34390
gma-miR2606b,GLYMA18G01450
gma-miR2606b,GLYMA15G21920
gma-miR2606b,GLYMA01G03850
gma-miR2606b,GLYMA03G02380
gma-miR2606b,GLYMA03G02380
gma-miR2606b,GLYMA01G39250
gma-miR2606b,GLYMA15G37460
gma-miR2606b,GLYMA04G08580
gma-miR2606b,GLYMA14G00690
gma-miR2606b,GLYMA04G16660
gma-miR2606b,GLYMA15G01680
gma-miR2606b,GLYMA15G01680
gma-miR2606b,GLYMA15G01680
gma-miR2606b,GLYMA15G01680
gma-miR2606b,GLYMA13G43680
gma-miR2606b,GLYMA13G43680
gma-miR2606b,GLYMA13G43680
gma-miR2606b,GLYMA13G43691
gma-miR2606b,GLYMA08G20710
gma-miR2606b,GLYMA08G20710
gma-miR2606b,GLYMA07G20850
gma-miR2606b,GLYMA07G11360
gma-miR2606b,GLYMA03G24290
gma-miR1514a-5p,GLYMA07G05360
gma-miR1514a-5p,GLYMA07G05370
gma-miR1514a-5p,GLYMA07G05370
gma-miR1514a-5p,GLYMA07G05360
gma-miR1514a-5p,GLYMA16G01940
gma-miR1514a-5p,GLYMA16G01930
gma-miR1514a-5p,GLYMA16G34620
gma-miR1514a-5p,GLYMA13G43010
gma-miR1514a-5p,GLYMA08G06160
gma-miR1514a-5p,GLYMA05G09130
gma-miR1514a-5p,GLYMA06G19400
gma-miR1514a-5p,GLYMA11G08550
gma-miR1514a-5p,GLYMA11G08550
gma-miR1514a-5p,GLYMA02G36901
gma-miR1514a-5p,GLYMA02G36901
gma-miR1514a-5p,GLYMA02G36901
gma-miR1514a-5p,GLYMA02G36901
gma-miR1514a-5p,GLYMA02G36901
gma-miR1514a-5p,GLYMA17G05020
gma-miR1514a-5p,GLYMA17G05020
gma-miR1514a-5p,GLYMA14G39300
gma-miR1514a-5p,GLYMA08G02210
gma-miR1514a-5p,GLYMA15G35920
gma-miR1514a-5p,GLYMA17G01410
gma-miR1514a-5p,GLYMA17G01410
gma-miR1514a-5p,GLYMA16G26880
gma-miR1514a-5p,GLYMA16G24200
gma-miR1514a-5p,GLYMA02G05620
gma-miR1514a-5p,GLYMA13G18910
gma-miR1514a-5p,GLYMA15G03521
gma-miR1514a-5p,GLYMA15G03521
gma-miR1514a-5p,GLYMA13G04520
gma-miR1514a-5p,GLYMA04G06380
gma-miR1514a-5p,GLYMA07G03300
gma-miR1514a-5p,GLYMA09G04150
gma-miR1514a-5p,GLYMA07G03300
gma-miR1514a-5p,GLYMA04G06380
gma-miR1514a-5p,GLYMA04G06380
gma-miR1514a-5p,GLYMA04G06380
gma-miR1514a-5p,GLYMA15G03175
gma-miR1514a-5p,GLYMA15G03175
gma-miR1514a-5p,GLYMA04G06380
gma-miR1514a-5p,GLYMA18G52630
gma-miR1514a-5p,GLYMA18G52630
gma-miR1514a-5p,GLYMA18G45446
gma-miR1514a-5p,GLYMA18G45446
gma-miR1514a-5p,GLYMA14G37660
gma-miR1514a-5p,GLYMA05G09300
gma-miR1514a-5p,GLYMA05G09300
gma-miR1514a-5p,GLYMA01G34736
gma-miR1514a-5p,GLYMA15G03521
gma-miR1514a-5p,GLYMA15G03521
gma-miR9722,GLYMA11G20180
gma-miR9722,GLYMA11G20180
gma-miR9722,GLYMA08G12170
gma-miR9722,GLYMA15G16661
gma-miR9722,GLYMA01G43410
gma-miR9722,GLYMA01G34540
gma-miR9722,GLYMA02G36680
gma-miR9722,GLYMA17G08030
gma-miR9722,GLYMA15G05530
gma-miR9722,GLYMA20G25041
gma-miR9722,GLYMA18G45970
gma-miR9722,GLYMA11G09080
gma-miR9722,GLYMA14G38120
gma-miR9722,GLYMA13G08060
gma-miR9722,GLYMA07G03831
gma-miR9722,GLYMA19G00430
gma-miR9722,GLYMA15G07510
gma-miR9722,GLYMA05G32301
gma-miR9722,GLYMA11G01260
gma-miR9722,GLYMA15G04160
gma-miR9722,GLYMA04G01971
gma-miR9722,GLYMA04G01971
gma-miR9722,GLYMA02G41510
gma-miR9722,GLYMA10G24550
gma-miR9722,GLYMA01G40540
gma-miR9722,GLYMA01G40540
gma-miR9722,GLYMA05G32030
gma-miR9722,GLYMA05G32030
gma-miR9722,GLYMA17G15610
gma-miR9722,GLYMA19G35560
gma-miR9722,GLYMA09G01570
gma-miR9722,GLYMA15G12500
gma-miR9722,GLYMA12G30630
gma-miR9722,GLYMA13G20140
gma-miR9722,GLYMA10G08030
gma-miR9722,GLYMA08G18470
gma-miR9722,GLYMA08G21690
gma-miR9722,GLYMA12G33840
gma-miR9722,GLYMA06G16130
gma-miR9722,GLYMA04G38770
gma-miR9722,GLYMA02G11810
gma-miR9722,GLYMA04G09950
gma-miR9722,GLYMA04G09950
gma-miR9722,GLYMA04G09950
gma-miR9722,GLYMA04G09950
gma-miR9722,GLYMA19G45090
gma-miR9722,GLYMA19G45090
gma-miR9722,GLYMA19G03820
gma-miR9722,GLYMA03G42301
gma-miR9722,GLYMA03G42301
gma-miR9722,GLYMA09G01140
gma-miR9722,GLYMA13G36940
gma-miR9722,GLYMA17G21360
gma-miR9722,GLYMA16G25770
gma-miR9722,GLYMA13G31530
gma-miR9722,GLYMA03G38370
gma-miR9722,GLYMA06G13390
gma-miR396b-5p,GLYMA13G22830
gma-miR396b-5p,GLYMA17G12035
gma-miR396b-5p,GLYMA17G12035
gma-miR396b-5p,GLYMA09G35883
gma-miR396b-5p,GLYMA09G35883
gma-miR396b-5p,GLYMA09G35883
gma-miR396b-5p,GLYMA09G35883
gma-miR396b-5p,GLYMA16G16290
gma-miR396b-5p,GLYMA17G18440
gma-miR396b-5p,GLYMA05G20930
gma-miR396b-5p,GLYMA17G08020
gma-miR396b-5p,GLYMA02G36700
gma-miR396b-5p,GLYMA10G01400
gma-miR396b-5p,GLYMA03G31420
gma-miR396b-5p,GLYMA09G17255
gma-miR396b-5p,GLYMA02G30885
gma-miR396b-5p,GLYMA13G11614
gma-miR396b-5p,GLYMA08G14560
gma-miR396b-5p,GLYMA07G30200
gma-miR396b-5p,GLYMA17G05800
gma-miR396b-5p,GLYMA10G07790
gma-miR396b-5p,GLYMA12G01730
gma-miR396b-5p,GLYMA11G01060
gma-miR396b-5p,GLYMA12G01730
gma-miR396b-5p,GLYMA01G34650
gma-miR396b-5p,GLYMA11G11826
gma-miR396b-5p,GLYMA15G19460
gma-miR396b-5p,GLYMA01G35145
gma-miR396b-5p,GLYMA09G07990
gma-miR396b-5p,GLYMA03G35010
gma-miR396b-5p,GLYMA19G37740
gma-miR396b-5p,GLYMA03G02500
gma-miR396b-5p,GLYMA13G16924
gma-miR396b-5p,GLYMA13G16924
gma-miR396b-5p,GLYMA13G21625
gma-miR396b-5p,GLYMA01G34650
gma-miR396b-5p,GLYMA01G44471
gma-miR396b-5p,GLYMA09G34565
gma-miR396b-5p,GLYMA07G04290
gma-miR396b-5p,GLYMA03G35010
gma-miR396b-5p,GLYMA17G05800
gma-miR396b-5p,GLYMA06G13960
gma-miR396b-5p,GLYMA19G37740
gma-miR396b-5p,GLYMA14G10100
gma-miR396b-5p,GLYMA14G10090
gma-miR396b-5p,GLYMA04G40880
gma-miR396b-5p,GLYMA17G35100
gma-miR396b-5p,GLYMA04G40880
gma-miR396b-5p,GLYMA16G00971
gma-miR396b-5p,GLYMA16G00971
gma-miR396b-5p,GLYMA04G40880
gma-miR396b-5p,GLYMA14G10100
gma-miR396b-5p,GLYMA16G00971
gma-miR396b-5p,GLYMA06G13960
gma-miR396b-5p,GLYMA16G00971
gma-miR396b-5p,GLYMA18G49680
gma-miR396b-5p,GLYMA18G49680
gma-miR396b-5p,GLYMA17G35090
gma-miR396b-5p,GLYMA09G37000
gma-miR396b-5p,GLYMA02G01370
gma-miR396b-5p,GLYMA02G01370
gma-miR396b-5p,GLYMA02G01370
gma-miR396b-5p,GLYMA18G00420
gma-miR396b-5p,GLYMA04G10375
gma-miR396b-5p,GLYMA19G34250
gma-miR396b-5p,GLYMA12G30540
gma-miR396b-5p,GLYMA17G05390
gma-miR396b-5p,GLYMA02G10461
gma-miR396b-5p,GLYMA07G36740
gma-miR396b-5p,GLYMA08G41510
gma-miR396b-5p,GLYMA18G14670
gma-miR396b-5p,GLYMA16G32290
gma-miR396b-5p,GLYMA09G27100
gma-miR396b-5p,GLYMA09G30030
gma-miR396b-5p,GLYMA07G12170
gma-miR396b-5p,GLYMA18G01030
gma-miR396b-5p,GLYMA18G01030
gma-miR396b-5p,GLYMA05G08630
gma-miR396b-5p,GLYMA19G01010
gma-miR396b-5p,GLYMA20G30095
gma-miR396b-5p,GLYMA20G30095
gma-miR396b-5p,GLYMA20G30095
gma-miR396b-5p,GLYMA12G17261
gma-miR396b-5p,GLYMA07G39741
gma-miR396b-5p,GLYMA07G39741
gma-miR396b-5p,GLYMA15G12490
gma-miR396b-5p,GLYMA17G01060
gma-miR5373,GLYMA07G11880
gma-miR5373,GLYMA08G20670
gma-miR5373,GLYMA07G01260
gma-miR5373,GLYMA07G01260
gma-miR5373,GLYMA10G23470
gma-miR5373,GLYMA10G23470
gma-miR5373,GLYMA10G23470
gma-miR5373,GLYMA10G23470
gma-miR5373,GLYMA20G16950
gma-miR5373,GLYMA17G05290
gma-miR5373,GLYMA01G43590
gma-miR5373,GLYMA03G33130
gma-miR5373,GLYMA03G33130
gma-miR5373,GLYMA20G29060
gma-miR5373,GLYMA04G21450
gma-miR5373,GLYMA20G29060
gma-miR5373,GLYMA06G23920
gma-miR5373,GLYMA06G23920
gma-miR5373,GLYMA06G23920
gma-miR5373,GLYMA04G21450
gma-miR5374-3p,GLYMA10G34910
gma-miR5374-3p,GLYMA03G14970
gma-miR5374-3p,GLYMA03G14970
gma-miR5374-3p,GLYMA01G41860
gma-miR5374-3p,GLYMA04G09160
gma-miR5374-3p,GLYMA10G28860
gma-miR5374-3p,GLYMA05G34970
gma-miR5374-3p,GLYMA03G42460
gma-miR5374-3p,GLYMA19G34440
gma-miR5374-3p,GLYMA03G31610
gma-miR5374-3p,GLYMA16G27430
gma-miR5374-3p,GLYMA16G27430
gma-miR5374-3p,GLYMA20G32660
gma-miR5374-3p,GLYMA08G39010
gma-miR1523b,GLYMA02G13921
gma-miR1523b,GLYMA14G07070
gma-miR1523b,GLYMA13G33700
gma-miR1523b,GLYMA12G31850
gma-miR1523b,GLYMA12G31850
gma-miR1523b,GLYMA12G31850
gma-miR1523b,GLYMA13G38640
gma-miR1523b,GLYMA04G06190
gma-miR1523b,GLYMA06G48200
gma-miR396k-5p,GLYMA13G22830
gma-miR396k-5p,GLYMA17G12035
gma-miR396k-5p,GLYMA17G12035
gma-miR396k-5p,GLYMA09G35883
gma-miR396k-5p,GLYMA09G35883
gma-miR396k-5p,GLYMA09G35883
gma-miR396k-5p,GLYMA09G35883
gma-miR396k-5p,GLYMA16G16290
gma-miR396k-5p,GLYMA17G18440
gma-miR396k-5p,GLYMA05G20930
gma-miR396k-5p,GLYMA17G08020
gma-miR396k-5p,GLYMA02G36700
gma-miR396k-5p,GLYMA10G01400
gma-miR396k-5p,GLYMA03G31420
gma-miR396k-5p,GLYMA09G17255
gma-miR396k-5p,GLYMA02G30885
gma-miR396k-5p,GLYMA13G11614
gma-miR396k-5p,GLYMA08G14560
gma-miR396k-5p,GLYMA07G30200
gma-miR396k-5p,GLYMA17G05800
gma-miR396k-5p,GLYMA10G07790
gma-miR396k-5p,GLYMA12G01730
gma-miR396k-5p,GLYMA11G01060
gma-miR396k-5p,GLYMA12G01730
gma-miR396k-5p,GLYMA01G34650
gma-miR396k-5p,GLYMA11G11826
gma-miR396k-5p,GLYMA15G19460
gma-miR396k-5p,GLYMA01G35145
gma-miR396k-5p,GLYMA09G07990
gma-miR396k-5p,GLYMA03G35010
gma-miR396k-5p,GLYMA19G37740
gma-miR396k-5p,GLYMA03G02500
gma-miR396k-5p,GLYMA13G16924
gma-miR396k-5p,GLYMA13G16924
gma-miR396k-5p,GLYMA13G21625
gma-miR396k-5p,GLYMA01G34650
gma-miR396k-5p,GLYMA01G44471
gma-miR396k-5p,GLYMA09G34565
gma-miR396k-5p,GLYMA07G04290
gma-miR396k-5p,GLYMA03G35010
gma-miR396k-5p,GLYMA17G05800
gma-miR396k-5p,GLYMA06G13960
gma-miR396k-5p,GLYMA19G37740
gma-miR396k-5p,GLYMA14G10100
gma-miR396k-5p,GLYMA14G10090
gma-miR396k-5p,GLYMA04G40880
gma-miR396k-5p,GLYMA17G35100
gma-miR396k-5p,GLYMA04G40880
gma-miR396k-5p,GLYMA16G00971
gma-miR396k-5p,GLYMA16G00971
gma-miR396k-5p,GLYMA04G40880
gma-miR396k-5p,GLYMA14G10100
gma-miR396k-5p,GLYMA16G00971
gma-miR396k-5p,GLYMA06G13960
gma-miR396k-5p,GLYMA16G00971
gma-miR396k-5p,GLYMA18G49680
gma-miR396k-5p,GLYMA18G49680
gma-miR396k-5p,GLYMA17G35090
gma-miR396k-5p,GLYMA09G37000
gma-miR396k-5p,GLYMA02G01370
gma-miR396k-5p,GLYMA02G01370
gma-miR396k-5p,GLYMA02G01370
gma-miR396k-5p,GLYMA18G00420
gma-miR396k-5p,GLYMA04G10375
gma-miR396k-5p,GLYMA19G34250
gma-miR396k-5p,GLYMA12G30540
gma-miR396k-5p,GLYMA17G05390
gma-miR396k-5p,GLYMA02G10461
gma-miR396k-5p,GLYMA07G36740
gma-miR396k-5p,GLYMA08G41510
gma-miR396k-5p,GLYMA18G14670
gma-miR396k-5p,GLYMA16G32290
gma-miR396k-5p,GLYMA09G27100
gma-miR396k-5p,GLYMA09G30030
gma-miR396k-5p,GLYMA07G12170
gma-miR396k-5p,GLYMA18G01030
gma-miR396k-5p,GLYMA18G01030
gma-miR396k-5p,GLYMA05G08630
gma-miR396k-5p,GLYMA19G01010
gma-miR396k-5p,GLYMA20G30095
gma-miR396k-5p,GLYMA20G30095
gma-miR396k-5p,GLYMA20G30095
gma-miR396k-5p,GLYMA12G17261
gma-miR396k-5p,GLYMA07G39741
gma-miR396k-5p,GLYMA07G39741
gma-miR396k-5p,GLYMA15G12490
gma-miR396k-5p,GLYMA17G01060
gma-miR5674b,GLYMA16G06346
gma-miR5674b,GLYMA09G30547
gma-miR5674b,GLYMA09G30160
gma-miR5674b,GLYMA09G30571
gma-miR5674b,GLYMA09G30522
gma-miR5674b,GLYMA09G30522
gma-miR5674b,GLYMA09G30621
gma-miR5674b,GLYMA09G30621
gma-miR5674b,GLYMA09G30940
gma-miR5674b,GLYMA09G30940
gma-miR5674b,GLYMA07G11408
gma-miR5674b,GLYMA07G11408
gma-miR5674b,GLYMA09G30708
gma-miR5674b,GLYMA09G30740
gma-miR5674b,GLYMA09G30680
gma-miR5674b,GLYMA09G30680
gma-miR5674b,GLYMA09G30732
gma-miR5674b,GLYMA09G30635
gma-miR5674b,GLYMA08G11441
gma-miR5674b,GLYMA16G31963
gma-miR5674b,GLYMA18G39540
gma-miR5674b,GLYMA18G39540
gma-miR5674b,GLYMA18G39540
gma-miR5674b,GLYMA18G39540
gma-miR5674b,GLYMA16G27787
gma-miR5674b,GLYMA16G27787
gma-miR5674b,GLYMA10G00534
gma-miR5674b,GLYMA05G28430
gma-miR5674b,GLYMA05G28430
gma-miR5674b,GLYMA05G28430
gma-miR5674b,GLYMA08G17053
gma-miR5674b,GLYMA16G32210
gma-miR5674b,GLYMA08G00224
gma-miR5674b,GLYMA19G36650
gma-miR5674b,GLYMA05G30560
gma-miR5674b,GLYMA20G20355
gma-miR5674b,GLYMA13G43880
gma-miR5674b,GLYMA13G31610
gma-miR5674b,GLYMA14G10530
gma-miR2111e,GLYMA05G14690
gma-miR2111e,GLYMA16G06160
gma-miR2111e,GLYMA19G25770
gma-miR2111e,GLYMA20G34930
gma-miR2111e,GLYMA15G34831
gma-miR2111e,GLYMA14G18397
gma-miR2111e,GLYMA19G01430
gma-miR2111e,GLYMA19G01430
gma-miR2111e,GLYMA02G09190
gma-miR2111e,GLYMA03G30070
gma-miR2111e,GLYMA03G30070
gma-miR2111e,GLYMA03G30070
gma-miR2111e,GLYMA06G20840
gma-miR2111e,GLYMA07G16720
gma-miR2111e,GLYMA15G19921
gma-miR2111e,GLYMA09G39811
gma-miR2111e,GLYMA06G06630
gma-miR2111e,GLYMA06G06630
gma-miR2111e,GLYMA06G06630
gma-miR2111e,GLYMA20G31015
gma-miR2111e,GLYMA10G36580
gma-miR2111e,GLYMA10G36580
gma-miR2111e,GLYMA10G36580
gma-miR2111e,GLYMA10G36580
gma-miR395h,GLYMA08G14700
gma-miR395h,GLYMA18G36276
gma-miR395h,GLYMA18G02240
gma-miR395h,GLYMA11G36210
gma-miR395h,GLYMA20G28980
gma-miR395h,GLYMA10G38760
gma-miR395h,GLYMA13G02080
gma-miR395h,GLYMA13G02080
gma-miR395h,GLYMA14G34210
gma-miR395h,GLYMA14G34210
gma-miR395h,GLYMA06G11150
gma-miR395h,GLYMA13G39500
gma-miR395h,GLYMA13G39500
gma-miR395h,GLYMA06G43546
gma-miR395h,GLYMA12G14420
gma-miR395h,GLYMA11G33650
gma-miR395h,GLYMA02G26820
gma-miR395h,GLYMA02G26820
gma-miR395h,GLYMA14G16883
gma-miR395h,GLYMA11G21200
gma-miR395h,GLYMA13G41240
gma-miR395h,GLYMA13G41240
gma-miR395h,GLYMA16G08650
gma-miR395h,GLYMA12G30780
gma-miR395h,GLYMA13G40550
gma-miR395h,GLYMA08G08800
gma-miR1522,GLYMA08G23020
gma-miR1522,GLYMA17G27530
gma-miR1522,GLYMA14G22750
gma-miR1522,GLYMA04G08890
gma-miR1522,GLYMA12G20201
gma-miR1522,GLYMA18G12521
gma-miR1522,GLYMA14G40230
gma-miR1522,GLYMA08G44580
gma-miR1522,GLYMA08G44580
gma-miR1522,GLYMA06G11260
gma-miR1522,GLYMA06G11260
gma-miR1522,GLYMA06G11260
gma-miR1522,GLYMA18G08760
gma-miR1522,GLYMA15G11820
gma-miR1522,GLYMA09G00970
gma-miR1522,GLYMA07G03100
gma-miR1522,GLYMA01G04830
gma-miR1522,GLYMA02G02680
gma-miR1522,GLYMA03G29150
gma-miR1522,GLYMA02G09020
gma-miR1522,GLYMA06G08980
gma-miR1522,GLYMA20G01150
gma-miR1522,GLYMA18G05230
gma-miR1522,GLYMA07G05340
gma-miR1522,GLYMA07G05340
gma-miR1522,GLYMA03G01910
gma-miR1522,GLYMA03G01910
gma-miR1522,GLYMA03G01910
gma-miR1522,GLYMA03G01910
gma-miR1522,GLYMA05G04660
gma-miR1522,GLYMA19G42840
gma-miR1522,GLYMA16G17104
gma-miR1522,GLYMA03G11890
gma-miR1522,GLYMA09G17404
gma-miR1522,GLYMA02G19000
gma-miR1522,GLYMA04G38461
gma-miR1522,GLYMA11G11990
gma-miR1522,GLYMA12G23685
gma-miR1522,GLYMA14G02880
