miRNA,mRNA
ath-miR396a-5p,AT3G19040
ath-miR396a-5p,AT5G24660
ath-miR396a-5p,AT1G60140
ath-miR5014a-5p,AT4G32850
ath-miR5014a-5p,AT4G32850
ath-miR5014a-5p,AT4G32850
ath-miR5014a-5p,AT4G32850
ath-miR5014a-5p,AT4G10470
ath-miR5014a-5p,AT5G24470
ath-miR5014a-5p,AT3G11270
ath-miR830-5p,AT1G52380
ath-miR830-5p,AT3G45850
ath-miR830-5p,AT3G45850
ath-miR830-5p,AT1G26440
ath-miR830-5p,AT3G29430
ath-miR830-5p,AT3G18390
ath-miR830-5p,AT3G14510
ath-miR319c,AT2G31070
ath-miR319c,AT3G66658
ath-miR319c,AT3G66658
ath-miR319c,AT3G15030
ath-miR319c,AT3G15030
ath-miR319c,AT3G15030
ath-miR319c,AT1G53230
ath-miR319c,AT1G30210
ath-miR319c,AT4G18390
ath-miR319c,AT1G30210
ath-miR319c,AT4G18390
ath-miR319c,AT2G26950
ath-miR319c,AT5G06100
ath-miR319c,AT5G06100
ath-miR319c,AT3G11440
ath-miR319c,AT5G06100
ath-miR824-5p,AT3G57230
ath-miR824-5p,AT3G57230
ath-miR824-5p,AT2G33580
ath-miR824-5p,AT2G28150
ath-miR869.1,AT4G08210
ath-miR840-3p,AT1G15020
ath-miR840-3p,AT1G15020
ath-miR863-3p,AT2G27100
ath-miR863-3p,AT2G43410
ath-miR863-3p,AT2G43410
ath-miR863-3p,AT4G02700
ath-miR863-3p,AT5G45095
ath-miR863-3p,AT4G28040
ath-miR863-3p,AT4G28040
ath-miR863-3p,AT2G29320
ath-miR863-3p,AT4G30410
ath-miR863-3p,AT4G30410
ath-miR859,AT3G17265
ath-miR859,AT5G36200
ath-miR859,AT3G16820
ath-miR859,AT3G22710
ath-miR859,AT3G16880
ath-miR859,AT3G22350
ath-miR859,AT3G17570
ath-miR859,AT5G36730
ath-miR859,AT5G36820
ath-miR859,AT2G18780
ath-miR859,AT3G49510
ath-miR859,AT3G14030
ath-miR859,AT2G13128
ath-miR859,AT2G27520
ath-miR859,AT3G24580
ath-miR859,AT3G49520
ath-miR859,AT3G21170
ath-miR859,AT5G28527
ath-miR859,AT3G13820
ath-miR859,AT3G13830
