Symbol,Category,MyID
PHTF2,mRNA,322
UCHL5,mRNA,323
ATP1A2,mRNA,324
HDAC1,mRNA,325
GPR34,mRNA,326
PRAMEF20,mRNA,327
SH3PXD2A,mRNA,328
AF241726.2,mRNA,329
RPUSD2,mRNA,330
NAPRT,mRNA,331
MKI67,mRNA,332
ITGA2,mRNA,333
CC2D1B,mRNA,334
ORC1,mRNA,335
ZNF726,mRNA,336
ANO6,mRNA,337
PPP1R14A,mRNA,338
COASY,mRNA,339
NDNF,mRNA,340
CCNB2,mRNA,341
PAQR8,mRNA,342
NFE2L3,mRNA,343
KIAA1147,mRNA,344
DCLRE1C,mRNA,345
MRPL54,mRNA,346
FPR2,mRNA,347
ZNF623,mRNA,348
DERL1,mRNA,349
ZPR1,mRNA,350
CACNB1,mRNA,351
PRAMEF25,mRNA,352
AC011498.4,mRNA,353
KRTAP6-1,mRNA,354
CNOT7,mRNA,355
C1orf141,mRNA,356
PLCXD1,mRNA,357
ENST00000288911,mRNA,358
ZNF408,mRNA,359
SLC22A5,mRNA,360
TSPAN11,mRNA,361
LOC102724985,mRNA,362
HES6,mRNA,363
NLRP9,mRNA,364
CT47A5,mRNA,365
EVI2A,mRNA,366
MS4A15,mRNA,367
MYT1,mRNA,368
SET,mRNA,369
FRMD1,mRNA,370
DLG3,mRNA,371
CRHBP,mRNA,372
PRKDC,mRNA,373
SAE1,mRNA,374
DDAH1,mRNA,375
TOMM20,mRNA,376
SPRYD7,mRNA,377
TEX13A,mRNA,378
NPTX2,mRNA,379
AC005833.1,mRNA,380
BCCIP,mRNA,381
KLF1,mRNA,382
PHYHD1,mRNA,383
PSMC1,mRNA,384
ZFYVE9,mRNA,385
ZNF610,mRNA,386
PEX6,mRNA,387
CCR3,mRNA,388
STK3,mRNA,389
PTPDC1,mRNA,390
HIST1H3D,mRNA,391
MICB,mRNA,392
ENST00000356695,mRNA,393
CASP14,mRNA,394
MUC22,mRNA,395
ENST00000383285,mRNA,396
FANCD2OS,mRNA,397
PHC3,mRNA,398
HIST2H2AB,mRNA,399
RDH11,mRNA,400
COX4I2,mRNA,401
PHF10,mRNA,402
GJB6,mRNA,403
TUBAL3,mRNA,404
ARNT2,mRNA,405
PEX26,mRNA,406
RPL36A,mRNA,407
LZTFL1,mRNA,408
ABAT,mRNA,409
DHFR2,mRNA,410
ANGPTL5,mRNA,411
C14orf39,mRNA,412
ZNF33B,mRNA,413
RBM18,mRNA,414
ALDH5A1,mRNA,415
KLRK1,mRNA,416
TRBV7-2,mRNA,417
AC004922.1,mRNA,418
SLC35G3,mRNA,419
CYP2U1,mRNA,420
MAGEB1,mRNA,421
TRH,mRNA,422
DEFB133,mRNA,423
AC008575.1,mRNA,424
KCTD21,mRNA,425
PDZD4,mRNA,426
GALNT1,mRNA,427
IL31RA,mRNA,428
NT5M,mRNA,429
PRKCE,mRNA,430
OOEP,mRNA,431
AMHR2,mRNA,432
GNG4,mRNA,433
AL159163.1,mRNA,434
LINS1,mRNA,435
CCDC85C,mRNA,436
INAFM1,mRNA,437
RPS6KC1,mRNA,438
EPS8L1,mRNA,439
ADGRL4,mRNA,440
ZFP36L1,mRNA,441
IGLC7,mRNA,442
ELAPOR1,mRNA,443
CT47B1,mRNA,444
CDC23,mRNA,445
TMEM256-PLSCR3,mRNA,446
ANP32B,mRNA,447
DNAH17,mRNA,448
RMI2,mRNA,449
CDC45,mRNA,450
NLE1,mRNA,451
CXCL9,mRNA,452
DDB2,mRNA,453
LRRFIP2,mRNA,454
BCHE,mRNA,455
ASAP1,mRNA,456
VWA3B,mRNA,457
OR4C11,mRNA,458
VWA2,mRNA,459
ANGPT1,mRNA,460
TamR,mRNA,461
ZNF572,mRNA,462
FEV,mRNA,463
VTI1A,mRNA,464
LANCL3,mRNA,465
SLC2A13,mRNA,466
AL096814.1,mRNA,467
FKRP,mRNA,468
ENST00000342688,mRNA,469
SLC44A4,mRNA,470
PROKR2,mRNA,471
CAB39L,mRNA,472
LDHC,mRNA,473
MBD3L4,mRNA,474
IGHV3OR16-9,mRNA,475
CPB1,mRNA,476
ANGPTL1,mRNA,477
ATP6AP2,mRNA,478
IZUMO1R,mRNA,479
TBX2,mRNA,480
SPDYE2B,mRNA,481
LRFN5,mRNA,482
ENST00000390275,mRNA,483
ZNF207,mRNA,484
CYB5R2,mRNA,485
L3MBTL1,mRNA,486
NR2F6,mRNA,487
MRPL18,mRNA,488
AL049844.1,mRNA,489
PRKN,mRNA,490
VPS45,mRNA,491
NFKB1,mRNA,492
ENST00000305973,mRNA,493
UBL4A,mRNA,494
FAM25G,mRNA,495
NIPSNAP3A,mRNA,496
RB1CC1,mRNA,497
SERPINC1,mRNA,498
ERGIC2,mRNA,499
UFSP1,mRNA,500
ADGRE3,mRNA,501
WNT5B,mRNA,502
GOLGA6L7,mRNA,503
LMNTD1,mRNA,504
IL1RL2,mRNA,505
MYO15A,mRNA,506
PLPP4,mRNA,507
PIGZ,mRNA,508
FAM124A,mRNA,509
LOC100996643,mRNA,510
BARHL2,mRNA,511
SSBP3,mRNA,512
GPR15,mRNA,513
LOC102725031,mRNA,514
TRPV4,mRNA,515
KDM6B,mRNA,516
DPP10,mRNA,517
FAM229B,mRNA,518
NMB,mRNA,519
KYAT1,mRNA,520
EFR3B,mRNA,521
UBR2,mRNA,522
ENST00000329809,mRNA,523
SLC25A6,mRNA,524
SLC24A2,mRNA,525
AC005477,mRNA,526
ITIH3,mRNA,527
UBE3D,mRNA,528
DHRS3,mRNA,529
ALG11,mRNA,530
BMX,mRNA,531
TRPS1,mRNA,532
RHOJ,mRNA,533
HDAC7,mRNA,534
SENP7,mRNA,535
CNDP2,mRNA,536
MEGF9,mRNA,537
MYMX,mRNA,538
ANKRD26,mRNA,539
SEC22B,mRNA,540
SLAMF7,mRNA,541
NAXE,mRNA,542
JPT2,mRNA,543
UBE2L6,mRNA,544
PSMC3,mRNA,545
SHF,mRNA,546
SHANK3,mRNA,547
TMPRSS2,mRNA,548
TAAR2,mRNA,549
IGHV3-21,mRNA,550
MOV10,mRNA,551
ANKK1,mRNA,552
EHD2,mRNA,553
RNASE10,mRNA,554
UBE2V1,mRNA,555
TMEM72,mRNA,556
GDPD2,mRNA,557
CHCHD5,mRNA,558
ENST00000298047,mRNA,559
H2AC20,mRNA,560
NGDN,mRNA,561
PLCE1,mRNA,562
DCAF12,mRNA,563
OSCP1,mRNA,564
TREML1,mRNA,565
HOXB3,mRNA,566
TSC2,mRNA,567
TPPP2,mRNA,568
MR1,mRNA,569
AC008758.6,mRNA,570
FBXW2,mRNA,571
UBE2N,mRNA,572
SGCZ,mRNA,573
SMCO1,mRNA,574
ARID1A,mRNA,575
SNAPC3,mRNA,576
DRD5,mRNA,577
AC010619.1,mRNA,578
GLS2,mRNA,579
ADH1A,mRNA,580
PXYLP1,mRNA,581
NXNL2,mRNA,582
DDX39A,mRNA,583
PRKAB2,mRNA,584
CLPSL2,mRNA,585
URM1,mRNA,586
TUBA4B,mRNA,587
LEFTY2,mRNA,588
PEX11B,mRNA,589
EFNA1,mRNA,590
ATF6B,mRNA,591
AC027796.3,mRNA,592
MANSC4,mRNA,593
CCDC140,mRNA,594
NUDT15,mRNA,595
MYLK4,mRNA,596
LRRTM2,mRNA,597
MPPED1,mRNA,598
PRR33,mRNA,599
C17orf80,mRNA,600
PSG11,mRNA,601
EIF2S3B,mRNA,602
UFSP2,mRNA,603
GRIFIN,mRNA,604
DYDC1,mRNA,605
LOC219688,mRNA,606
HIST3H2A,mRNA,607
KDR,mRNA,608
CLC,mRNA,609
COL5A2,mRNA,610
ST6GAL2,mRNA,611
WSCD2,mRNA,612
C6orf89,mRNA,613
AL049629.2,mRNA,614
LOC102724135,mRNA,615
LAMB3,mRNA,616
F13B,mRNA,617
UGT2B4,mRNA,618
UBR5,mRNA,619
DDB1,mRNA,620
ENST00000342548,mRNA,621
ENST00000317836,mRNA,622
DLX2,mRNA,623
PSMD2,mRNA,624
PPP1R12A,mRNA,625
SLC4A7,mRNA,626
OR2V1,mRNA,627
RNF151,mRNA,628
COL14A1,mRNA,629
FMO4,mRNA,630
NAT10,mRNA,631
RAB11FIP2,mRNA,632
KNCN,mRNA,633
CPXM1,mRNA,634
PTPRG,mRNA,635
VNN1,mRNA,636
GSPT1,mRNA,637
MMP15,mRNA,638
ENDOG,mRNA,639
FAM177A1,mRNA,640
AP006285,mRNA,641
OXR1,mRNA,642
PCDH15,mRNA,643
EPPIN,mRNA,644
POSTN,mRNA,645
STK4,mRNA,646
DDX58,mRNA,647
PATL1,mRNA,648
CYP2C8,mRNA,649
CEP85,mRNA,650
ARPP19,mRNA,651
TRIB2,mRNA,652
CDC42BPG,mRNA,653
DEF8,mRNA,654
DEFA3,mRNA,655
PSMA4,mRNA,656
SAR1A,mRNA,657
CAMKMT,mRNA,658
CEP152,mRNA,659
P4HB,mRNA,660
DLAT,mRNA,661
CFTR,mRNA,662
DNM1,mRNA,663
CD207,mRNA,664
MAGEA6,mRNA,665
CRIP2,mRNA,666
CDHR5,mRNA,667
CYP26A1,mRNA,668
RNF169,mRNA,669
AP1AR,mRNA,670
AL138752.2,mRNA,671
ANTXRL,mRNA,672
CKM,mRNA,673
STN1,mRNA,674
RASGRF1,mRNA,675
MTCL1,mRNA,676
ATP6V1G2,mRNA,677
EIF2B4,mRNA,678
IHO1,mRNA,679
ZFR2,mRNA,680
PPP2R1A,mRNA,681
UBE2NL,mRNA,682
CAPN3,mRNA,683
SCAMP1,mRNA,684
BAIAP2,mRNA,685
PGM3,mRNA,686
ABCD1,mRNA,687
C9orf152,mRNA,688
GPX3,mRNA,689
ENST00000329730,mRNA,690
FANCG,mRNA,691
GABRG1,mRNA,692
GNPDA2,mRNA,693
MTHFR,mRNA,694
MYO3A,mRNA,695
ENST00000308092,mRNA,696
UNCX,mRNA,697
CLDN10,mRNA,698
ENST00000343519,mRNA,699
GOLGA6B,mRNA,700
BTN3A2,mRNA,701
CTDNEP1,mRNA,702
NEURL4,mRNA,703
COQ4,mRNA,704
CELA2A,mRNA,705
GRAMD2A,mRNA,706
ANKHD1,mRNA,707
GCLM,mRNA,708
SLC12A1,mRNA,709
TTC12,mRNA,710
ZNF330,mRNA,711
CALY,mRNA,712
OLAH,mRNA,713
EPRS,mRNA,714
TAS2R5,mRNA,715
NEO1,mRNA,716
SRC,mRNA,717
BRI3,mRNA,718
NPY4R2,mRNA,719
PAX9,mRNA,720
SCN9A,mRNA,721
ADRB1,mRNA,722
GTSF1L,mRNA,723
POLD2,mRNA,724
IGLL1,mRNA,725
DEFB105A,mRNA,726
TGIF1,mRNA,727
CFAP61,mRNA,728
LAMTOR5,mRNA,729
SCRN3,mRNA,730
CRNKL1,mRNA,731
MCTS1,mRNA,732
ERAP1,mRNA,733
PCDHGC3,mRNA,734
TCEAL8,mRNA,735
NIPAL2,mRNA,736
NEMP1,mRNA,737
CDK5R1,mRNA,738
FRMD4B,mRNA,739
PIK3C3,mRNA,740
NFATC2,mRNA,741
LMX1B,mRNA,742
NTS,mRNA,743
H2BFS,mRNA,744
CCER1,mRNA,745
MYO5A,mRNA,746
ENST00000301171,mRNA,747
CYB5D1,mRNA,748
JAG2,mRNA,749
POTEB,mRNA,750
ENST00000390634,mRNA,751
ACSM5,mRNA,752
CD9,mRNA,753
CITED1,mRNA,754
EZR,mRNA,755
IRS2,mRNA,756
CORO2B,mRNA,757
OR10H2,mRNA,758
C18orf63,mRNA,759
SPAST,mRNA,760
ILRUN,mRNA,761
ALDH3B1,mRNA,762
SERPINA10,mRNA,763
VPS33A,mRNA,764
AL121753.1,mRNA,765
C9orf24,mRNA,766
RBMY1F,mRNA,767
XAGE1E,mRNA,768
GCNT3,mRNA,769
PGK1,mRNA,770
DCTN3,mRNA,771
RNF103-CHMP3,mRNA,772
YRDC,mRNA,773
MUS81,mRNA,774
NDUFS1,mRNA,775
STX18,mRNA,776
HEATR6,mRNA,777
F11,mRNA,778
HSD3B1,mRNA,779
ATP8B4,mRNA,780
NEUROD4,mRNA,781
AOC2,mRNA,782
ELMO3,mRNA,783
GLIS2,mRNA,784
SV2A,mRNA,785
FAAH,mRNA,786
KRBA2,mRNA,787
NHSL2,mRNA,788
PIP5KL1,mRNA,789
ADAM19,mRNA,790
PRPF31,mRNA,791
HEXB,mRNA,792
HIST4H4,mRNA,793
ASB11,mRNA,794
GLOD5,mRNA,795
PRG3,mRNA,796
ENST00000382990,mRNA,797
ASCL4,mRNA,798
ITGB6,mRNA,799
ACSS1,mRNA,800
TM2D2,mRNA,801
SLC17A9,mRNA,802
TMX2,mRNA,803
ZRANB1,mRNA,804
CD27,mRNA,805
NPSA,mRNA,806
JAG1,mRNA,807
CORO1A,mRNA,808
CLASRP,mRNA,809
SNRPA,mRNA,810
TTC29,mRNA,811
UBE2C,mRNA,812
ASB9,mRNA,813
MGC42105,mRNA,814
AC008764.4,mRNA,815
CSF3R,mRNA,816
PLN,mRNA,817
MRC1L1,mRNA,818
PIR,mRNA,819
PDX1,mRNA,820
AEBP2,mRNA,821
ZNF77,mRNA,822
DNTTIP1,mRNA,823
SALL3,mRNA,824
CMTM3,mRNA,825
EMC10,mRNA,826
HOXB8,mRNA,827
VCY1B,mRNA,828
LY86,mRNA,829
BBOF1,mRNA,830
ICAM1,mRNA,831
ADPRHL2,mRNA,832
DZIP1L,mRNA,833
SMARCE1,mRNA,834
RRAGD,mRNA,835
HIST1H2BI,mRNA,836
SCRG1,mRNA,837
CLASP2,mRNA,838
C1orf21,mRNA,839
RNASEH2A,mRNA,840
ZNF780B,mRNA,841
C10orf67,mRNA,842
LDLRAD2,mRNA,843
NF2,mRNA,844
PCOLCE2,mRNA,845
MOB2,mRNA,846
NPM1,mRNA,847
NRXN1,mRNA,848
DRC7,mRNA,849
C2orf70,mRNA,850
MRPL4,mRNA,851
RRM2,mRNA,852
WDR1,mRNA,853
DNAJC2,mRNA,854
SEPT1,mRNA,855
SURF2,mRNA,856
KIR2DL3,mRNA,857
IDE,mRNA,858
HKDC1,mRNA,859
NOP56,mRNA,860
NUDC,mRNA,861
FAM110A,mRNA,862
ENST00000372871,mRNA,863
RHBDL1,mRNA,864
ZNF699,mRNA,865
TRIM49D2,mRNA,866
PDCD6,mRNA,867
THAP1,mRNA,868
LSR,mRNA,869
MAF,mRNA,870
CCL27,mRNA,871
PEX1,mRNA,872
ENST00000334562,mRNA,873
MCM9,mRNA,874
OMG,mRNA,875
AC026954.2,mRNA,876
LSM11,mRNA,877
BABAM2,mRNA,878
LZIC,mRNA,879
ATP2B3,mRNA,880
SNX15,mRNA,881
NCOA2,mRNA,882
RBM38,mRNA,883
MSMO1,mRNA,884
B3GALT4,mRNA,885
CDA,mRNA,886
SGK3,mRNA,887
PXMP2,mRNA,888
C12orf56,mRNA,889
RBBP8NL,mRNA,890
METTL27,mRNA,891
AL121594.1,mRNA,892
PHTF1,mRNA,893
SLC11A2,mRNA,894
VCAM1,mRNA,895
VLDLR,mRNA,896
OR4F5,mRNA,897
FAM160B1,mRNA,898
TWF1,mRNA,899
GSKIP,mRNA,900
ARHGEF2,mRNA,901
PIM2,mRNA,902
