BioMarkers,Topotecan.estimate,Topotecan.se,Topotecan.n,Topotecan.tstat,Topotecan.fstat,Topotecan.pvalue,Topotecan.df,Topotecan.fdr
ENSG00000178917,0.125661924,0.051128297,487,2.457776452,6.040665089,0.014344648,464,0.095269395
ENSG00000151746,-0.027513408,0.047409466,487,-0.580335739,0.33678957,0.561969949,464,0.77275692
ENSG00000168631,0.033879117,0.041772526,487,0.811038271,0.657783077,0.417759504,464,0.669592277
ENSG00000166268,-0.019682869,0.044795912,487,-0.439389855,0.193063444,0.660583634,464,0.832705488
ENSG00000186298,0.2001587,0.044345714,487,4.513597419,20.37256166,8.09E-06,464,0.000726386
ENSG00000183117,0.001531674,0.04357127,487,0.035153296,0.001235754,0.971972621,464,0.988558927
ENSG00000103381,-0.066821894,0.043738015,487,-1.527776106,2.33409983,0.12724951,464,0.348808239
ENSG00000142156,-0.036740831,0.051161568,487,-0.718133415,0.515715601,0.473036453,464,0.711219775
ENSG00000119121,-0.043767328,0.042305875,487,-1.034544902,1.070283153,0.301420378,464,0.564312054
ENSG00000180398,-0.036718162,0.049313223,487,-0.744590588,0.554415144,0.456896198,464,0.700473889
ENSG00000178980,-0.018916375,0.048178914,487,-0.392627677,0.154156493,0.694774796,464,0.851782925
ENSG00000113070,0.038092853,0.044565909,487,0.854753204,0.730603039,0.393128897,464,0.648830068
ENSG00000178096,-0.063530548,0.042802998,487,-1.484254631,2.20301181,0.138420361,464,0.36590486
ENSG00000161609,-0.003266965,0.042633706,487,-0.0766287,0.005871958,0.938951956,464,0.973782414
ENSG00000109618,0.106989413,0.047988086,487,2.229499499,4.970668016,0.026258562,464,0.138259648
ENSG00000174165,-0.071079871,0.045154476,487,-1.574148969,2.477944975,0.116134581,464,0.331690036
ENSG00000006116,0.02748984,0.04217338,487,0.651829176,0.424881275,0.514834111,464,0.739957703
ENSG00000154328,0.070502732,0.043036777,487,1.638197312,2.683690434,0.102058433,464,0.307634813
ENSG00000003987,0.020300684,0.043216261,487,0.469746411,0.22066169,0.638756886,464,0.820796245
ENSG00000169429,0.026713839,0.04654213,487,0.573971142,0.329442872,0.566265447,464,0.775999132
ENSG00000155660,-0.052958848,0.043487681,487,-1.217789651,1.483011633,0.223922831,464,0.483588305
ENSG00000136146,0.171766082,0.045068117,487,3.811254871,14.52566369,0.000156898,464,0.005270132
ENSG00000100906,-0.015010615,0.046161663,487,-0.32517492,0.105738729,0.745195258,464,0.881190864
ENSG00000090273,0.162395448,0.042651543,487,3.807492902,14.4970022,0.000159229,464,0.005331771
ENSG00000103507,-0.049054188,0.04347741,487,-1.128268424,1.272989636,0.259789612,464,0.523718497
ENSG00000102384,0.030472426,0.042425626,487,0.718255182,0.515890506,0.472961455,464,0.711219775
ENSG00000165899,-0.066717725,0.042334033,487,-1.575983197,2.483723037,0.1157112,464,0.331103217
ENSG00000122378,0.089606273,0.045977506,487,1.948915449,3.798271426,0.05190779,464,0.208130074
ENSG00000124251,-0.077866845,0.042877086,487,-1.816047989,3.298030298,0.070008231,464,0.246803664
ENSG00000178381,-0.062752165,0.043547925,487,-1.440990912,2.076454808,0.150261725,464,0.383927622
ENSG00000243147,0.033581574,0.045656815,487,0.735521613,0.540992044,0.462393502,464,0.704264659
ENSG00000164548,0.123696836,0.046341828,487,2.669226489,7.124770049,0.007869135,464,0.066584788
ENSG00000096696,-0.215409332,0.064082356,487,-3.361445252,11.29931418,0.000839444,464,0.015783121
ENSG00000133316,0.057791964,0.043709743,487,1.322175785,1.748148808,0.186761015,464,0.436422286
ENSG00000080947,0.035512338,0.04183193,487,0.848928994,0.720680437,0.396358561,464,0.652097923
ENSG00000185745,-0.063347054,0.04488478,487,-1.411325924,1.991840862,0.158818701,464,0.396977365
ENSG00000152595,0.027130349,0.042768983,487,0.634346377,0.402395326,0.526167414,464,0.748400079
ENSG00000105954,-0.022423443,0.042324122,487,-0.529802907,0.28069112,0.596501998,464,0.795071291
ENSG00000158716,-0.110709209,0.051503544,487,-2.149545485,4.620545792,0.032107574,464,0.154920981
ENSG00000246985,-0.010734171,0.043595814,487,-0.246220218,0.060624396,0.805620648,464,0.910797046
ENSG00000182154,0.06137556,0.046263399,487,1.326654807,1.760012977,0.185275437,464,0.433963662
ENSG00000178971,0.098462553,0.047473266,487,2.074063197,4.301738145,0.03862439,464,0.17256549
ENSG00000126353,0.03429315,0.053460602,487,0.641465845,0.41147843,0.521536797,464,0.744882512
ENSG00000101945,0.065363773,0.043818691,487,1.491687036,2.225130214,0.13646075,464,0.363306635
ENSG00000153002,-0.00378928,0.042484526,487,-0.089191997,0.007955212,0.92896781,464,0.969037895
ENSG00000179832,-0.13340768,0.047398465,487,-2.814599191,7.921968606,0.005091486,464,0.050899606
ENSG00000259248,0.008849656,0.045692967,487,0.193676544,0.037510604,0.846513915,464,0.931402986
ENSG00000106268,0.202325049,0.043554932,487,4.645284489,21.57866798,4.43E-06,464,0.000483854
ENSG00000105221,-0.012680711,0.042282597,487,-0.299903778,0.089942276,0.764384858,464,0.891181507
ENSG00000114982,0.011885753,0.043786267,487,0.271449341,0.073684745,0.786166184,464,0.902379895
ENSG00000139842,0.077376016,0.042345828,487,1.827240585,3.338808157,0.068305757,464,0.243681812
ENSG00000140743,-0.098356247,0.043450877,487,-2.263619352,5.123972572,0.02405859,464,0.130732484
ENSG00000139537,-0.102646846,0.042703913,487,-2.403687116,5.77771175,0.016621947,464,0.104781021
ENSG00000164953,0.071931468,0.044702692,487,1.609108199,2.589229196,0.108272806,464,0.318575928
ENSG00000106692,0.05033042,0.043754658,487,1.150287113,1.323160443,0.25061812,464,0.513494039
ENSG00000135093,0.020867845,0.043810907,487,0.476316204,0.226877126,0.634073331,464,0.817496044
