"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significance","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","Significance","Label","Source"
"MYOZ3","MYOZ3",7.38841271184528e-16,-3.20976990003173,0.001,0.01,1.34639044847957e-11,"Downregulated","ENSG00000164591",4.04790326495298,-2.96512063984351,5.82381377394152,0.0158106269936594,0.0316534168219406,"Significant","Up in WA (Down in Control)","Common_DEGs"
"MZT2A","MZT2A",6.08206220352847e-14,-0.458902341104025,0.105,0.144,1.10833419534899e-09,"Downregulated","ENSG00000173272",-1.24065667103825,5.54375221470636,305.56450127721,2.02064670025189e-68,2.47184884434583e-67,"Significant","Down in WA (Up in Control)","Common_DEGs"
"NAAA","NAAA",6.91961274899143e-17,-0.786580237433723,0.052,0.086,1.26096103124871e-12,"Downregulated","ENSG00000138744",-1.40548541185546,4.44124936599348,258.470266308761,3.69798606280242e-58,3.88371279828017e-57,"Significant","Down in WA (Up in Control)","Common_DEGs"
"NCALD","NCALD",3.03331006394434e-07,-0.834483880517875,0.013,0.025,0.00552760092952576,"Downregulated","ENSG00000104490",1.49929131838807,0.0637308854172482,17.8812304600054,2.3512868026667e-05,6.53685156392913e-05,"Significant","Up in WA (Down in Control)","Common_DEGs"
"NCAM1","NCAM1",2.7612689152521e-28,-1.95299229851587,0.005,0.025,5.0318603442639e-24,"Downregulated","ENSG00000149294",3.00740742571065,-2.55011710650136,5.7892351708541,0.0161246029304334,0.0322481488564137,"Significant","Up in WA (Down in Control)","Common_DEGs"
"NCF1","NCF1",2.53265633940559e-11,-0.405853583673608,0.16,0.199,4.61525964729881e-07,"Downregulated","ENSG00000158517",4.05915719582682,-2.96505759117294,6.0173201608283,0.0141661415266933,0.0286829580460502,"Significant","Up in WA (Down in Control)","Common_DEGs"
"NCOA7","NCOA7",7.1168467596415e-13,-0.560534631630178,0.041,0.067,1.29690298500947e-08,"Downregulated","ENSG00000111912",1.61113159558134,4.90624738643183,359.629759098456,3.39002549609102e-80,4.97480942088701e-79,"Significant","Up in WA (Down in Control)","Common_DEGs"
"NCR3","NCR3",4.1260403225347e-17,-0.717895970870503,0.033,0.061,7.51888327975498e-13,"Downregulated","ENSG00000204475",3.81407220699372,-3.0475025348068,5.20931756280288,0.0224661513934019,0.0435602041856561,"Significant","Up in WA (Down in Control)","Common_DEGs"
"NDUFS7","NDUFS7",1.68307398579604e-19,-0.358622860127449,0.134,0.186,3.06706572431612e-15,"Downregulated","ENSG00000115286",-1.68015578671855,6.10543181595962,635.441651908359,3.27581931925697e-140,9.89524471398128e-139,"Significant","Down in WA (Up in Control)","Common_DEGs"
"NDUFS8","NDUFS8",1.93762653722402e-27,-0.484640749982928,0.109,0.169,3.53093683878333e-23,"Downregulated","ENSG00000110717",-1.22073747175988,7.08014297671379,368.152259139476,4.72614726240602e-82,7.1240131832384e-81,"Significant","Down in WA (Up in Control)","Common_DEGs"
"NEAT1","NEAT1",1.64971381504721e-15,0.409222466371507,0.484,0.446,3.00627348516054e-11,"Upregulated","ENSG00000245532",2.13956945985681,9.12060396887779,1602.5744792035,0,0,"Significant","Up in WA (Down in Control)","Common_DEGs"
"NIT2","NIT2",1.15906246949209e-09,-0.513322736766967,0.041,0.062,2.11215953815543e-05,"Downregulated","ENSG00000114021",1.30583150250932,6.84385554666425,470.958232260345,1.98267175716085e-104,3.99269522371091e-103,"Significant","Up in WA (Down in Control)","Common_DEGs"
"NLRP1","NLRP1",1.06533639321636e-11,-0.429856460539946,0.031,0.053,1.94136250935818e-07,"Downregulated","ENSG00000091592",1.58055130325882,-0.906386829499901,8.28561311532568,0.00399604098691313,0.00889307859579347,"Significant","Up in WA (Down in Control)","Common_DEGs"
"NMUR1","NMUR1",2.94504092456276e-30,-2.08418567062681,0.008,0.033,5.36674807683072e-26,"Downregulated","ENSG00000171596",-1.78755031247952,-1.02622548171413,10.40836191791,0.00125445971773379,0.00299119277282845,"Significant","Down in WA (Up in Control)","Common_DEGs"
"NR2C2AP","NR2C2AP",3.18310721886557e-07,-0.300758396807561,0.024,0.038,0.00580057628493872,"Downregulated","ENSG00000184162",-2.17723337073179,4.69146875252545,620.366431810799,6.22385702621183e-137,1.81706845945164e-135,"Significant","Down in WA (Up in Control)","Common_DEGs"
"NR4A2","NR4A2",1.84737916616015e-24,0.400179992516456,0.462,0.387,3.36647905449364e-20,"Upregulated","ENSG00000153234",3.93417584444169,3.57015736240181,777.975320347102,3.31670125698218e-171,1.32446647446688e-169,"Significant","Up in WA (Down in Control)","Common_DEGs"
"NRDE2","NRDE2",2.19076093495861e-10,-0.745637874761804,0.024,0.042,3.99222365177508e-06,"Downregulated","ENSG00000119720",1.51294494040535,4.46674046229796,270.184094096213,1.03463412103756e-60,1.13423113182663e-59,"Significant","Up in WA (Down in Control)","Common_DEGs"
"NSRP1","NSRP1",4.0313661213862e-11,-0.265865617877883,0.059,0.087,7.34635848300207e-07,"Downregulated","ENSG00000126653",1.00664736563219,6.20085365369101,259.317167010268,2.41745369823667e-58,2.54851744573264e-57,"Significant","Up in WA (Down in Control)","Common_DEGs"
"NT5C","NT5C",6.75846179844391e-22,-0.943684026103891,0.045,0.083,1.23159449353043e-17,"Downregulated","ENSG00000125458",-1.35408309885426,6.1016808825886,350.623438749907,3.10011158743934e-78,4.3970852822495e-77,"Significant","Down in WA (Up in Control)","Common_DEGs"
"NUBPL","NUBPL",1.50594136290264e-08,-1.12766769637267,0.012,0.023,0.000274427694561749,"Downregulated","ENSG00000151413",-1.39041078889512,3.42602191564068,129.418505890646,5.49258936016227e-30,3.44234611317154e-29,"Significant","Down in WA (Up in Control)","Common_DEGs"
"NUDT14","NUDT14",1.11712331286335e-07,-0.66752675554425,0.05,0.07,0.00203573381303089,"Downregulated","ENSG00000183828",-1.99881276072809,4.6144127090555,445.120311722334,8.3192373391219e-99,1.55617174726714e-97,"Significant","Down in WA (Up in Control)","Common_DEGs"
"NUTM2A-AS1","NUTM2A-AS1",3.60750320019251e-08,-0.508782376656601,0.024,0.039,0.000657395308171081,"Downregulated","ENSG00000223482",1.17481158559082,4.28303013369376,156.964186996314,5.21165362560369e-36,3.70031045993816e-35,"Significant","Up in WA (Down in Control)","Common_DEGs"
"NXPE3","NXPE3",1.19506704019381e-06,-0.430387864529103,0.023,0.037,0.0217777066734519,"Downregulated","ENSG00000144815",2.23896827966874,4.94866504926275,700.645475225643,2.16441939704603e-154,7.52098762921153e-153,"Significant","Up in WA (Down in Control)","Common_DEGs"
"OSBPL5","OSBPL5",9.54504962906142e-10,-1.25358758198535,0.005,0.014,1.73939439390386e-05,"Downregulated","ENSG00000021762",-1.64843363268513,5.03151766831225,428.234925459432,3.93602800844187e-95,7.04306618824358e-94,"Significant","Down in WA (Up in Control)","Common_DEGs"
"OSBPL9","OSBPL9",5.3066355285444e-08,-0.498401799252166,0.04,0.059,0.000967028192366646,"Downregulated","ENSG00000117859",1.72122059824756,5.42080512209979,545.564857921471,1.1609694170126e-120,2.82456267493122e-119,"Significant","Up in WA (Down in Control)","Common_DEGs"
