BioMarkers,Irinotecan.estimate,Irinotecan.se,Irinotecan.n,Irinotecan.tstat,Irinotecan.fstat,Irinotecan.pvalue,Irinotecan.df,Irinotecan.fdr
ENSG00000112312,0.241069591,0.050384423,309,4.78460557,22.89245046,2.75E-06,286,0.000625543
ENSG00000139780,-0.019511033,0.051429954,309,-0.379371002,0.143922357,0.704693901,286,0.877318495
ENSG00000197119,0.063331631,0.056794478,309,1.115101906,1.24345226,0.265742872,286,0.566269583
ENSG00000158639,-0.00543702,0.051520961,309,-0.105530249,0.011136633,0.916029045,286,0.969568904
ENSG00000183908,0.057422713,0.053679506,309,1.069732518,1.14432766,0.285641706,286,0.586153875
ENSG00000115386,-0.040160922,0.051305563,309,-0.7827791,0.612743119,0.434404505,286,0.712383031
ENSG00000105398,0.069654901,0.052882775,309,1.31715668,1.734901718,0.188840422,286,0.476779802
ENSG00000021826,0.048156822,0.053677585,309,0.897149557,0.804877328,0.370393686,286,0.661089507
ENSG00000151490,0.069239537,0.052296581,309,1.323978275,1.752918472,0.18656745,286,0.473969376
ENSG00000168887,-0.022174749,0.056055562,309,-0.39558516,0.156487619,0.692706002,286,0.871168508
ENSG00000174407,-0.012355663,0.051859629,309,-0.238252049,0.056764039,0.81185622,286,0.92783568
ENSG00000049860,-0.118670427,0.059993595,309,-1.9780516,3.912688133,0.048882455,286,0.23160763
ENSG00000205707,-0.068793188,0.051552468,309,-1.334430563,1.780704927,0.183124238,286,0.46909041
ENSG00000101278,0.065615301,0.05524328,309,1.187751721,1.410754152,0.235916708,286,0.534267831
ENSG00000159023,0.089704769,0.066141503,309,1.356255381,1.839428658,0.17608766,286,0.458755215
ENSG00000140307,0.01733207,0.053623691,309,0.323216658,0.104469008,0.746767361,286,0.900473903
ENSG00000260163,0.043016586,0.053870115,309,0.798524123,0.637640775,0.425228981,286,0.705742654
ENSG00000183735,-0.024367384,0.051923079,309,-0.46929774,0.220240368,0.639214395,286,0.844088794
ENSG00000250968,0.066667432,0.053399131,309,1.2484741,1.558687578,0.212878519,286,0.506617479
ENSG00000196511,-0.010711529,0.061005489,309,-0.17558303,0.0308294,0.860745785,286,0.947469037
ENSG00000108417,-0.01892619,0.052462622,309,-0.360755708,0.130144681,0.718548387,286,0.884938366
ENSG00000074416,-0.070737204,0.054068464,309,-1.308289506,1.711621431,0.191825583,286,0.480860726
ENSG00000147874,0.246458757,0.051289951,309,4.805205566,23.09000053,2.50E-06,286,0.000584739
ENSG00000162975,-0.02122645,0.053323042,309,-0.398072753,0.158461917,0.690873541,286,0.870020241
ENSG00000181418,-0.036897699,0.057637171,309,-0.640171925,0.409820093,0.522573355,286,0.772993193
ENSG00000223960,0.041451975,0.062043531,309,0.668111153,0.446372513,0.504601453,286,0.762576565
ENSG00000220201,0.004700748,0.054004396,309,0.087043802,0.007576623,0.930697606,286,0.974640872
ENSG00000163602,-0.073913065,0.054757221,309,-1.349832276,1.822047173,0.17813717,286,0.462108912
ENSG00000198768,-0.124723907,0.058300469,309,-2.139329381,4.576730202,0.033255522,286,0.188109765
ENSG00000143507,-0.095881559,0.057773092,309,-1.659623123,2.754348911,0.098086356,286,0.336814023
ENSG00000104147,0.217608173,0.052051963,309,4.180594953,17.47737416,3.87E-05,286,0.003521345
ENSG00000105552,0.040111406,0.055737028,309,0.719654555,0.517902678,0.472325374,286,0.738951737
ENSG00000280693,0.064195361,0.055420469,309,1.158333064,1.341735486,0.24769447,286,0.546552385
ENSG00000143207,0.09500113,0.057104522,309,1.663635864,2.767684288,0.097280523,286,0.336121134
ENSG00000149591,-0.106743206,0.060633965,309,-1.76045235,3.099192477,0.079399966,286,0.300322329
ENSG00000143149,0.121319362,0.051752834,309,2.344207142,5.495307122,0.019751937,286,0.141913452
ENSG00000102468,-0.070336799,0.053540845,309,-1.313703569,1.725817068,0.189998802,286,0.478317327
ENSG00000185787,0.040309002,0.053878429,309,0.748147312,0.5597244,0.454986064,286,0.725600584
ENSG00000136485,0.200448771,0.057125632,309,3.508911242,12.3124581,0.00052244,286,0.016371427
ENSG00000106692,0.036254311,0.054115656,309,0.66994127,0.448821305,0.503435768,286,0.761619659
ENSG00000024526,0.15998055,0.053047645,309,3.015789847,9.094988403,0.002793333,286,0.044539634
ENSG00000272031,-0.021350261,0.054796218,309,-0.3896302,0.151811692,0.697099997,286,0.873457877
ENSG00000168243,0.138216548,0.056057171,309,2.465635442,6.079358135,0.014264123,286,0.118173269
ENSG00000214681,0.003959611,0.054697265,309,0.072391391,0.005240514,0.942341034,286,0.978998894
ENSG00000128050,0.230806159,0.053786776,309,4.291132038,18.41381417,2.44E-05,286,0.002553275
ENSG00000171517,0.133278516,0.05772448,309,2.308873383,5.330896299,0.021663497,286,0.14877033
ENSG00000144724,-0.041902863,0.055529525,309,-0.754605109,0.569428871,0.451106855,286,0.722579286
ENSG00000156575,-0.045566389,0.055796997,309,-0.816645906,0.666910535,0.414810513,286,0.69838658
ENSG00000169660,0.023406926,0.059128248,309,0.395867073,0.15671074,0.692498243,286,0.871118312
ENSG00000158865,-0.056379178,0.053838545,309,-1.04718986,1.096606604,0.2958962,286,0.595175939
ENSG00000174059,-0.017360438,0.055669843,309,-0.311846362,0.097248153,0.755384503,286,0.904380192
ENSG00000146276,-0.065181592,0.051185957,309,-1.273427246,1.621616952,0.203900482,286,0.495892387
ENSG00000204603,0.040077949,0.051345766,309,0.780550218,0.609258643,0.435712628,286,0.712978302
ENSG00000156500,-0.049568486,0.060023681,309,-0.825815492,0.681971227,0.409597099,286,0.694155599
ENSG00000125977,0.104126792,0.052952802,309,1.966407584,3.866758786,0.050218415,286,0.235351144
ENSG00000163380,-0.005946276,0.051603279,309,-0.11523058,0.013278087,0.908343221,286,0.965820913
ENSG00000254967,-0.001237447,0.053260503,309,-0.023233857,0.000539812,0.981479933,286,0.993659213
ENSG00000101134,-0.160887598,0.053339221,309,-3.0163095,9.098123002,0.002788699,286,0.044539634
ENSG00000099282,-0.083148341,0.062352706,309,-1.333516168,1.77826537,0.183423556,286,0.469551909
ENSG00000169105,-0.006142234,0.059127289,309,-0.103881539,0.010791374,0.917336165,286,0.969988955
ENSG00000221990,-0.030973456,0.053312681,309,-0.580977273,0.337534592,0.561713311,286,0.799546195
ENSG00000116199,-0.002096476,0.055541954,309,-0.037745813,0.001424746,0.969916682,286,0.98916552
ENSG00000132963,0.217872945,0.05362267,309,4.063075284,16.50858077,6.26E-05,286,0.004692165
ENSG00000004961,0.006640338,0.05355394,309,0.123993454,0.015374377,0.901407556,286,0.962290024
ENSG00000204389,-0.10467465,0.065878125,309,-1.588913619,2.524646489,0.113184721,286,0.363848266
ENSG00000152348,0.105912797,0.050934571,309,2.079389181,4.323859368,0.038472401,286,0.203103444
ENSG00000275722,0.007803836,0.052177478,309,0.149563302,0.022369181,0.881214576,286,0.95481094
ENSG00000142102,0.008999133,0.055394008,309,0.162456791,0.026392209,0.871060872,286,0.950821594
ENSG00000111729,0.027678727,0.05880987,309,0.470647647,0.221509207,0.638251114,286,0.843559559
ENSG00000163251,-0.068592239,0.060365191,309,-1.136287941,1.291150285,0.256787296,286,0.556423418
ENSG00000142444,0.064011917,0.052868383,309,1.21077881,1.465985327,0.226979787,286,0.524130568
ENSG00000170471,-0.1018968,0.053957528,309,-1.88846309,3.566292842,0.059975697,286,0.258087382
ENSG00000160298,0.153840451,0.059798838,309,2.57263279,6.61843947,0.010597377,286,0.098287111
ENSG00000253267,-0.029660431,0.051981088,309,-0.570600438,0.325584859,0.568718546,286,0.80327433
ENSG00000179632,-0.012072036,0.057001859,309,-0.211783201,0.044852124,0.832427017,286,0.937065358
ENSG00000131773,-0.020522865,0.061834366,309,-0.331900626,0.110158025,0.740207394,286,0.896653245
ENSG00000151725,0.265206534,0.051786619,309,5.121140105,26.22607598,5.59E-07,286,0.000248718
ENSG00000163218,-0.027459483,0.054591972,309,-0.502994893,0.253003862,0.615354991,286,0.830015831
ENSG00000249852,0.041187555,0.053468934,309,0.770308141,0.593374632,0.441752951,286,0.717002602
ENSG00000107130,0.130678248,0.073159871,309,1.78620118,3.190514654,0.075125957,286,0.291382753
ENSG00000118495,0.015855582,0.057225946,309,0.277069812,0.076767681,0.78192665,286,0.914561872
ENSG00000188157,-0.085364117,0.062752125,309,-1.360338269,1.850520205,0.174794095,286,0.457107135
ENSG00000134698,0.055683764,0.061001368,309,0.912828127,0.833255189,0.362101775,286,0.655414047
ENSG00000154146,0.02787331,0.054471902,309,0.511700695,0.261837601,0.609255355,286,0.826768152
ENSG00000175573,-0.056709747,0.054721917,309,-1.036326032,1.073971644,0.300925482,286,0.599098414
ENSG00000250366,-0.008858214,0.052635234,309,-0.168294378,0.028322998,0.866470647,286,0.949136118
ENSG00000236819,0.10447343,0.052938725,309,1.973478403,3.894617008,0.049403534,286,0.233363687
ENSG00000198795,-0.012315764,0.059583131,309,-0.206698832,0.042724407,0.836392148,286,0.938383412
ENSG00000114854,-0.110258883,0.059874817,309,-1.841490102,3.391085797,0.066585206,286,0.272698958
ENSG00000258297,-0.025891792,0.058812933,309,-0.440239777,0.193811061,0.660095982,286,0.854412537
ENSG00000185689,0.036664005,0.053111524,309,0.690321091,0.476543209,0.490552104,286,0.752014647
ENSG00000145723,0.090868613,0.052638769,309,1.72626783,2.98000062,0.085379163,286,0.312186464
ENSG00000173120,-0.148743316,0.060635052,309,-2.453091264,6.017656749,0.01476044,286,0.120608626
ENSG00000236384,0.045306714,0.052700172,309,0.859707132,0.739096353,0.390670542,286,0.680754141
ENSG00000253738,0.030338485,0.051947903,309,0.584017514,0.341076457,0.559668864,286,0.798030712
ENSG00000115252,0.119982828,0.052539696,309,2.283660472,5.21510515,0.023124692,286,0.154070018
ENSG00000185837,0.106532683,0.052849597,309,2.01577098,4.063332643,0.044758946,286,0.220589008
ENSG00000272694,0.058647242,0.051196352,309,1.145535561,1.312251722,0.252945007,286,0.551803613
ENSG00000125826,-0.093789158,0.053231673,309,-1.761905154,3.104309773,0.079153637,286,0.299673365
ENSG00000012817,0.006856439,0.0574402,309,0.119366566,0.014248377,0.90506875,286,0.964199652
ENSG00000158458,-0.006013357,0.055021324,309,-0.109291396,0.011944609,0.913048014,286,0.968274244
ENSG00000177302,0.193323916,0.053354087,309,3.623413437,13.12912493,0.000343971,286,0.012523042
ENSG00000271755,0.112599502,0.058639046,309,1.920213746,3.687220831,0.055825299,286,0.247731465
ENSG00000162068,-0.076579655,0.051755692,309,-1.479637361,2.18932672,0.140070685,286,0.408978624
ENSG00000073331,0.04800773,0.058346116,309,0.822809351,0.677015229,0.411301923,286,0.695306856
ENSG00000100024,0.121092293,0.054750548,309,2.211709236,4.891657745,0.027777309,286,0.169877333
ENSG00000104611,-0.132302939,0.061336262,309,-2.157010132,4.652692708,0.031837938,286,0.183674549
ENSG00000236751,-0.042379775,0.056794736,309,-0.746191964,0.556802447,0.456164359,286,0.726795095
ENSG00000196230,0.154974444,0.052291958,309,2.963638205,8.783151408,0.003296004,286,0.048779879
ENSG00000159455,-0.032593664,0.052537642,309,-0.620386881,0.384879882,0.535497131,286,0.78195847
ENSG00000172590,0.072129862,0.053325257,309,1.352639753,1.829634302,0.177239164,286,0.460528089
ENSG00000100583,0.013070634,0.055430329,309,0.235802928,0.055603021,0.813754364,286,0.928690232
ENSG00000144306,0.044827632,0.057029341,309,0.786045058,0.617866833,0.43249185,286,0.711116995
ENSG00000075234,0.081222407,0.054286673,309,1.49617581,2.238542055,0.13571052,286,0.402111194
ENSG00000148399,0.119370788,0.05532554,309,2.157607278,4.655269167,0.031790984,286,0.183506101
ENSG00000160868,-0.093589235,0.053386037,309,-1.753065786,3.07323965,0.080662095,286,0.302524405
ENSG00000113318,0.092191379,0.055795503,309,1.652308427,2.730123139,0.099569068,286,0.33936528
ENSG00000175220,-0.092662315,0.053519024,309,-1.731390227,2.997712119,0.084460567,286,0.310236205
ENSG00000205791,-0.066946771,0.05178724,309,-1.29272715,1.671143485,0.197148802,286,0.488154767
ENSG00000135363,0.184568416,0.090668071,309,2.035649536,4.143869035,0.042707116,286,0.214698896
ENSG00000042445,-0.147507268,0.057385652,309,-2.570455546,6.607241713,0.010662674,286,0.098573122
