Row,Col,Treatment,Concentration_uM,Cell_Death,Well,incubation_time,drug,normalized_atp
G,6,Doxorubicin,"0,0309",Apoptosis,G06,28h,apoptosis,0.894060217
G,7,Doxorubicin,"0,01545",Apoptosis,G07,28h,apoptosis,0.932260566
G,8,DMSO,0,Apoptosis,G08,28h,healthy,1.065913998
G,9,Untreated,0,Apoptosis,G09,28h,healthy,1.072955096
G,10,DMSO,0,Apoptosis,G10,28h,healthy,1.045109304
G,11,Untreated,0,Apoptosis,G11,28h,healthy,1.072445334
G,12,DMSO,0,Apoptosis,G12,28h,healthy,1.120299316
G,13,Doxorubicin,"0,2472",Apoptosis,G13,28h,apoptosis,0.471689883
G,14,Doxorubicin,"0,1236",Apoptosis,G14,28h,apoptosis,0.774648283
G,15,Doxorubicin,"0,0618",Apoptosis,G15,28h,apoptosis,0.888420966
G,16,Doxorubicin,"0,0309",Apoptosis,G16,28h,apoptosis,0.95860893
G,17,Doxorubicin,"0,01545",Apoptosis,G17,28h,apoptosis,0.888261665
G,18,Doxorubicin,"0,2472",Apoptosis,G18,28h,apoptosis,0.548759645
G,19,Doxorubicin,"0,1236",Apoptosis,G19,28h,apoptosis,0.733007035
G,20,Doxorubicin,"0,0618",Apoptosis,G20,28h,apoptosis,0.900942014
G,21,Doxorubicin,"0,0309",Apoptosis,G21,28h,apoptosis,0.886413775
G,22,Doxorubicin,"0,01545",Apoptosis,G22,28h,apoptosis,0.95124923
G,23,DMSO,0,Healthy,G23,28h,healthy,0.932133125
G,24,Untreated,0,Healthy,G24,28h,healthy,1.029434098
H,1,DMSO,0,Healthy,H01,28h,healthy,0.877015023
H,2,Untreated,0,Healthy,H02,28h,healthy,1.019748605
H,3,Niclosamide,"6,78",Apoptosis,H03,28h,apoptosis,0.322775428
H,4,Niclosamide,"3,39",Apoptosis,H04,28h,apoptosis,0.546593154
H,5,Niclosamide,"1,695",Apoptosis,H05,28h,apoptosis,0.829447783
H,6,Niclosamide,"0,8475",Apoptosis,H06,28h,apoptosis,0.80701822
H,7,Niclosamide,"0,42375",Apoptosis,H07,28h,apoptosis,1.013249129
H,8,DMSO,0,Apoptosis,H08,28h,healthy,0.955072451
H,9,Untreated,0,Apoptosis,H09,28h,healthy,1.151076244
H,10,DMSO,0,Apoptosis,H10,28h,healthy,1.015766083
H,11,Untreated,0,Apoptosis,H11,28h,healthy,1.094396994
H,12,DMSO,0,Apoptosis,H12,28h,healthy,0.995471152
H,13,Niclosamide,"6,78",Apoptosis,H13,28h,apoptosis,0.369673605
H,14,Niclosamide,"3,39",Apoptosis,H14,28h,apoptosis,0.498356849
H,15,Niclosamide,"1,695",Apoptosis,H15,28h,apoptosis,0.783919593
H,16,Niclosamide,"0,8475",Apoptosis,H16,28h,apoptosis,0.839101416
H,17,Niclosamide,"0,42375",Apoptosis,H17,28h,apoptosis,0.923467158
H,18,Niclosamide,"6,78",Apoptosis,H18,28h,apoptosis,0.283332532
H,19,Niclosamide,"3,39",Apoptosis,H19,28h,apoptosis,0.701529182
H,20,Niclosamide,"1,695",Apoptosis,H20,28h,apoptosis,0.758304013
H,21,Niclosamide,"0,8475",Apoptosis,H21,28h,apoptosis,0.919293475
H,22,Niclosamide,"0,42375",Apoptosis,H22,28h,apoptosis,0.897915298
H,23,DMSO,0,Healthy,H23,28h,healthy,0.960074498
H,24,Untreated,0,Healthy,H24,28h,healthy,0.937963537
I,1,DMSO,0,Healthy,I01,28h,healthy,0.855413825
I,2,Untreated,0,Healthy,I02,28h,healthy,1.035041489
I,3,RLS3,"0,06028",Ferroptosis,I03,28h,ferroptosis,0.190715005
I,4,RLS3,"0,03014",Ferroptosis,I04,28h,ferroptosis,0.460984865
I,5,RLS3,"0,01507",Ferroptosis,I05,28h,ferroptosis,0.752059419
I,6,RLS3,"0,007535",Ferroptosis,I06,28h,ferroptosis,0.93856888
I,7,RLS3,"0,0037675",Ferroptosis,I07,28h,ferroptosis,0.894474399
I,8,DMSO,0,Ferroptosis,I08,28h,healthy,1.032301514
I,9,Untreated,0,Ferroptosis,I09,28h,healthy,1.02245672
I,10,DMSO,0,Ferroptosis,I10,28h,healthy,1.041031202
I,11,Untreated,0,Ferroptosis,I11,28h,healthy,1.023922288
I,12,DMSO,0,Ferroptosis,I12,28h,healthy,0.98970446
I,13,RLS3,"0,06028",Ferroptosis,I13,28h,ferroptosis,0.265618275
I,14,RLS3,"0,03014",Ferroptosis,I14,28h,ferroptosis,0.532925139
I,15,RLS3,"0,01507",Ferroptosis,I15,28h,ferroptosis,0.762541416
I,16,RLS3,"0,007535",Ferroptosis,I16,28h,ferroptosis,0.870037645
I,17,RLS3,"0,0037675",Ferroptosis,I17,28h,ferroptosis,0.946087882
I,18,RLS3,"0,06028",Ferroptosis,I18,28h,ferroptosis,0.276896777
I,19,RLS3,"0,03014",Ferroptosis,I19,28h,ferroptosis,0.384074404
I,20,RLS3,"0,01507",Ferroptosis,I20,28h,ferroptosis,0.81794626
I,21,RLS3,"0,007535",Ferroptosis,I21,28h,ferroptosis,0.928341764
I,22,RLS3,"0,0037675",Ferroptosis,I22,28h,ferroptosis,0.945036496
I,23,DMSO,0,Healthy,I23,28h,healthy,0.946119742
I,24,Untreated,0,Healthy,I24,28h,healthy,0.994356046
J,1,DMSO,0,Healthy,J01,28h,healthy,0.965203986
J,2,Untreated,0,Healthy,J02,28h,healthy,0.999166932
J,3,ML162,"0,09572",Ferroptosis,J03,28h,ferroptosis,0.142606141
J,4,ML162,"0,04786",Ferroptosis,J04,28h,ferroptosis,0.261253431
J,5,ML162,"0,02393",Ferroptosis,J05,28h,ferroptosis,0.675467559
J,6,ML162,"0,011965",Ferroptosis,J06,28h,ferroptosis,0.930412676
J,7,ML162,"0,0059825",Ferroptosis,J07,28h,ferroptosis,0.969154648
J,8,DMSO,0,Ferroptosis,J08,28h,healthy,0.972691127
J,9,Untreated,0,Ferroptosis,J09,28h,healthy,1.030198742
J,10,DMSO,0,Ferroptosis,J10,28h,healthy,0.98056059
J,11,Untreated,0,Ferroptosis,J11,28h,healthy,1.135401038
J,12,DMSO,0,Ferroptosis,J12,28h,healthy,0.916139318
J,13,ML162,"0,09572",Ferroptosis,J13,28h,ferroptosis,0.229170235
J,14,ML162,"0,04786",Ferroptosis,J14,28h,ferroptosis,0.275080747
J,15,ML162,"0,02393",Ferroptosis,J15,28h,ferroptosis,0.657785163
J,16,ML162,"0,011965",Ferroptosis,J16,28h,ferroptosis,0.824127134
J,17,ML162,"0,0059825",Ferroptosis,J17,28h,ferroptosis,0.959564735
J,18,ML162,"0,09572",Ferroptosis,J18,28h,ferroptosis,0.234809486
J,19,ML162,"0,04786",Ferroptosis,J19,28h,ferroptosis,0.309043693
J,20,ML162,"0,02393",Ferroptosis,J20,28h,ferroptosis,0.651190106
J,21,ML162,"0,011965",Ferroptosis,J21,28h,ferroptosis,0.891511403
J,22,ML162,"0,0059825",Ferroptosis,J22,28h,ferroptosis,0.919261615
J,23,DMSO,0,Healthy,J23,28h,healthy,0.891734424
J,24,Untreated,0,Healthy,J24,28h,healthy,0.939620266
K,1,DMSO,0,Healthy,K01,28h,healthy,0.999453674
K,2,Untreated,0,Healthy,K02,28h,healthy,1.132215021
K,3,ML210,"0,4704",Ferroptosis,K03,28h,ferroptosis,0.133653432
K,4,ML210,"0,2352",Ferroptosis,K04,28h,ferroptosis,0.202407689
K,5,ML210,"0,1176",Ferroptosis,K05,28h,ferroptosis,0.284638799
K,6,ML210,"0,0588",Ferroptosis,K06,28h,ferroptosis,0.698534326
K,7,ML210,"0,0294",Ferroptosis,K07,28h,ferroptosis,0.815493026
K,8,DMSO,0,Ferroptosis,K08,28h,healthy,1.110613823
K,9,Untreated,0,Ferroptosis,K09,28h,healthy,1.026821564
K,10,DMSO,0,Ferroptosis,K10,28h,healthy,1.009489629
K,11,Untreated,0,Ferroptosis,K11,28h,healthy,1.051895521
K,12,DMSO,0,Ferroptosis,K12,28h,healthy,1.088024959
K,13,ML210,"0,4704",Ferroptosis,K13,28h,ferroptosis,0.162901072
K,14,ML210,"0,2352",Ferroptosis,K14,28h,ferroptosis,0.227513506
K,15,ML210,"0,1176",Ferroptosis,K15,28h,ferroptosis,0.305985116
K,16,ML210,"0,0588",Ferroptosis,K16,28h,ferroptosis,0.85448988
K,17,ML210,"0,0294",Ferroptosis,K17,28h,ferroptosis,0.815652327
K,18,ML210,"0,4704",Ferroptosis,K18,28h,ferroptosis,0.199572133
K,19,ML210,"0,2352",Ferroptosis,K19,28h,ferroptosis,0.21722267
K,20,ML210,"0,1176",Ferroptosis,K20,28h,ferroptosis,0.300282145
K,21,ML210,"0,0588",Ferroptosis,K21,28h,ferroptosis,0.482872805
K,22,ML210,"0,0294",Ferroptosis,K22,28h,ferroptosis,0.905498019
K,23,DMSO,0,Healthy,K23,28h,healthy,0.99878461
K,24,Untreated,0,Healthy,K24,28h,healthy,0.993782563
L,1,DMSO,0,Healthy,L01,28h,healthy,1.010764036
L,2,Untreated,0,Healthy,L02,28h,healthy,1.089777269
L,3,Erastin,"5,132",Ferroptosis,L03,28h,ferroptosis,0.925601789
L,4,Erastin,"2,566",Ferroptosis,L04,28h,ferroptosis,0.970683936
L,5,Erastin,"1,283",Ferroptosis,L05,28h,ferroptosis,1.052150402
L,6,Erastin,"0,6415",Ferroptosis,L06,28h,ferroptosis,0.974602738
L,7,Erastin,"0,32075",Ferroptosis,L07,28h,ferroptosis,1.012548206
L,8,DMSO,0,Ferroptosis,L08,28h,healthy,1.050079491
L,9,Untreated,0,Ferroptosis,L09,28h,healthy,1.084711501
L,10,DMSO,0,Ferroptosis,L10,28h,healthy,1.055145259
L,11,Untreated,0,Ferroptosis,L11,28h,healthy,1.047466957
L,12,DMSO,0,Ferroptosis,L12,28h,healthy,0.949847382
L,13,Erastin,"5,132",Ferroptosis,L13,28h,ferroptosis,1.006462912
L,14,Erastin,"2,566",Ferroptosis,L14,28h,ferroptosis,0.971607881
L,15,Erastin,"1,283",Ferroptosis,L15,28h,ferroptosis,0.930826858
L,16,Erastin,"0,6415",Ferroptosis,L16,28h,ferroptosis,1.038705409
L,17,Erastin,"0,32075",Ferroptosis,L17,28h,ferroptosis,1.028478293
L,18,Erastin,"5,132",Ferroptosis,L18,28h,ferroptosis,0.966924436
L,19,Erastin,"2,566",Ferroptosis,L19,28h,ferroptosis,1.01522446
L,20,Erastin,"1,283",Ferroptosis,L20,28h,ferroptosis,1.02424089
L,21,Erastin,"0,6415",Ferroptosis,L21,28h,ferroptosis,0.993432101
L,22,Erastin,"0,32075",Ferroptosis,L22,28h,ferroptosis,0.95488129
L,23,DMSO,0,Healthy,L23,28h,healthy,0.943411627
L,24,Untreated,0,Healthy,L24,28h,healthy,0.936370528
M,1,DMSO,0,Healthy,M01,28h,healthy,0.847671803
M,2,Untreated,0,Healthy,M02,28h,healthy,0.990373524
M,3,IKE,"1,396",Ferroptosis,M03,28h,ferroptosis,0.026985568
M,4,IKE,"0,698",Ferroptosis,M04,28h,ferroptosis,0.19909423
M,5,IKE,"0,349",Ferroptosis,M05,28h,ferroptosis,0.421669409
M,6,IKE,"0,1745",Ferroptosis,M06,28h,ferroptosis,0.846715997
M,7,IKE,"0,08725",Ferroptosis,M07,28h,ferroptosis,0.866596746
M,8,DMSO,0,Ferroptosis,M08,28h,healthy,1.043388854
M,9,Untreated,0,Ferroptosis,M09,28h,healthy,0.962973774
M,10,DMSO,0,Ferroptosis,M10,28h,healthy,0.95857707
M,11,Untreated,0,Ferroptosis,M11,28h,healthy,0.99142491
M,12,DMSO,0,Ferroptosis,M12,28h,healthy,0.939078643
M,13,IKE,"1,396",Ferroptosis,M13,28h,ferroptosis,0.033421323
M,14,IKE,"0,698",Ferroptosis,M14,28h,ferroptosis,0.142064518
M,15,IKE,"0,349",Ferroptosis,M15,28h,ferroptosis,0.421032206
M,16,IKE,"0,1745",Ferroptosis,M16,28h,ferroptosis,0.917190703
M,17,IKE,"0,08725",Ferroptosis,M17,28h,ferroptosis,0.851941066
M,18,IKE,"1,396",Ferroptosis,M18,28h,ferroptosis,0.030458327
M,19,IKE,"0,698",Ferroptosis,M19,28h,ferroptosis,0.130913457
M,20,IKE,"0,349",Ferroptosis,M20,28h,ferroptosis,0.634304214
M,21,IKE,"0,1745",Ferroptosis,M21,28h,ferroptosis,0.795102515
M,22,IKE,"0,08725",Ferroptosis,M22,28h,ferroptosis,0.822916447
M,23,DMSO,0,Healthy,M23,28h,healthy,0.897883438
M,24,Untreated,0,Healthy,M24,28h,healthy,0.94216908
N,1,DMSO,0,Healthy,N01,28h,healthy,0.887624461
N,2,Untreated,0,Healthy,N02,28h,healthy,0.944909055
N,3,FINO2,"4,284",Ferroptosis,N03,28h,ferroptosis,0.051581623
N,4,FINO2,"2,142",Ferroptosis,N04,28h,ferroptosis,0.178353257
N,5,FINO2,"1,071",Ferroptosis,N05,28h,ferroptosis,0.359319048
N,6,FINO2,"0,5355",Ferroptosis,N06,28h,ferroptosis,0.593172729
N,7,FINO2,"0,26775",Ferroptosis,N07,28h,ferroptosis,0.839643039
N,8,DMSO,0,Ferroptosis,N08,28h,healthy,0.936784711
N,9,Leer,0,Ferroptosis,N09,28h,,1.031982912
N,10,DMSO,0,Ferroptosis,N10,28h,healthy,0.911296571
N,11,Leer,0,Ferroptosis,N11,28h,,0.976323187
N,12,DMSO,0,Ferroptosis,N12,28h,healthy,0.966478393
N,13,FINO2,"4,284",Ferroptosis,N13,28h,ferroptosis,0.038614531
N,14,FINO2,"2,142",Ferroptosis,N14,28h,ferroptosis,0.15155885
N,15,FINO2,"1,071",Ferroptosis,N15,28h,ferroptosis,0.388471108
N,16,FINO2,"0,5355",Ferroptosis,N16,28h,ferroptosis,0.628887984
N,17,FINO2,"0,26775",Ferroptosis,N17,28h,ferroptosis,0.790801391
N,18,FINO2,"4,284",Ferroptosis,N18,28h,ferroptosis,0.034918751
N,19,FINO2,"2,142",Ferroptosis,N19,28h,ferroptosis,0.166437552
N,20,FINO2,"1,071",Ferroptosis,N20,28h,ferroptosis,0.330708611
N,21,FINO2,"0,5355",Ferroptosis,N21,28h,ferroptosis,0.719785062
N,22,FINO2,"0,26775",Ferroptosis,N22,28h,ferroptosis,0.711150955
N,23,DMSO,0,Healthy,N23,28h,healthy,0.940130029
N,24,Untreated,0,Healthy,N24,28h,healthy,0.911328431
O,1,DMSO,0,Healthy,O01,28h,healthy,0.800582465
O,2,Untreated,0,Healthy,O02,28h,healthy,1.017390952
O,3,FIN56,"0,3106",Ferroptosis,O03,28h,ferroptosis,0.229679998
O,4,FIN56,"0,1553",Ferroptosis,O04,28h,ferroptosis,0.505493529
O,5,FIN56,"0,07765",Ferroptosis,O05,28h,ferroptosis,0.396595452
O,6,FIN56,"0,038825",Ferroptosis,O06,28h,ferroptosis,0.760757247
O,7,FIN56,"0,0194125",Ferroptosis,O07,28h,ferroptosis,0.841363488
O,8,DMSO,0,Ferroptosis,O08,28h,healthy,0.91483305
O,9,Leer,0,Ferroptosis,O09,28h,,0.839515598
O,10,DMSO,0,Ferroptosis,O10,28h,healthy,0.903681989
O,11,Leer,0,Ferroptosis,O11,28h,,0.92754526
O,12,DMSO,0,Ferroptosis,O12,28h,healthy,0.89278581
O,13,FIN56,"0,3106",Ferroptosis,O13,28h,ferroptosis,0.280688137
O,14,FIN56,"0,1553",Ferroptosis,O14,28h,ferroptosis,0.422306613
O,15,FIN56,"0,07765",Ferroptosis,O15,28h,ferroptosis,0.46926851
O,16,FIN56,"0,038825",Ferroptosis,O16,28h,ferroptosis,0.774488982
O,17,FIN56,"0,0194125",Ferroptosis,O17,28h,ferroptosis,0.727654525
O,18,FIN56,"0,3106",Ferroptosis,O18,28h,ferroptosis,0.272850534
O,19,FIN56,"0,1553",Ferroptosis,O19,28h,ferroptosis,0.237708762
O,20,FIN56,"0,07765",Ferroptosis,O20,28h,ferroptosis,0.548727785
O,21,FIN56,"0,038825",Ferroptosis,O21,28h,ferroptosis,0.722365736
O,22,FIN56,"0,0194125",Ferroptosis,O22,28h,ferroptosis,0.76133073
O,23,DMSO,0,Healthy,O23,28h,healthy,0.772736672
O,24,Untreated,0,Healthy,O24,28h,healthy,0.915215373
