"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significance"
"ZNF91",1.047736683852e-10,-0.551776354492844,0.024,0.042,1.9092905589835e-06,"ZNF91","Downregulated"
"COA5",1.04970808589691e-10,-0.607851821215028,0.031,0.052,1.91288304492994e-06,"COA5","Downregulated"
"RER1",1.05241244397294e-10,-0.245538297288532,0.118,0.153,1.9178111966519e-06,"RER1","Not Significant"
"UBE2L6",1.06850735400426e-10,-0.231264901416677,0.134,0.171,1.94714095120196e-06,"UBE2L6","Not Significant"
"PHF6",1.07541904621494e-10,-0.396047529245311,0.02,0.037,1.95973612791749e-06,"PHF6","Downregulated"
"USO1",1.08935383976632e-10,-0.497455114242853,0.038,0.06,1.98512950220616e-06,"USO1","Downregulated"
"RBM5",1.1206294128904e-10,-0.290447207869052,0.086,0.118,2.04212297911018e-06,"RBM5","Downregulated"
"GNG7",1.13610888106607e-10,-0.743803982771001,0.015,0.03,2.07033121396669e-06,"GNG7","Downregulated"
"C7orf50",1.14225445336086e-10,-0.41276715822167,0.1,0.133,2.0815302903595e-06,"C7orf50","Downregulated"
"JUNB",1.14973895506019e-10,0.120117962388819,0.694,0.684,2.09516929780618e-06,"JUNB","Not Significant"
"MTPN",1.15731563899038e-10,-0.219457256703219,0.086,0.118,2.10897628893218e-06,"MTPN","Not Significant"
"TMEM128",1.17148943711239e-10,-0.560928970660171,0.034,0.055,2.1348052012499e-06,"TMEM128","Downregulated"
"WDR11",1.17182286814509e-10,-0.915556667966633,0.014,0.029,2.13541281262079e-06,"WDR11","Downregulated"
"LINC02043",1.18871989950454e-10,-2.49034087830668,0.003,0.011,2.16620427286712e-06,"LINC02043","Downregulated"
"TP53TG1",1.20776168058073e-10,-0.499704902071304,0.039,0.061,2.20090411052226e-06,"TP53TG1","Downregulated"
"MZB1",1.21348613718975e-10,-0.891352885940522,0.026,0.045,2.21133578780088e-06,"MZB1","Downregulated"
"TSG101",1.21455576296487e-10,-0.146030634464523,0.064,0.093,2.21328496685089e-06,"TSG101","Not Significant"
"SAMHD1",1.22732923068974e-10,-0.317082758833448,0.092,0.124,2.23656205708592e-06,"SAMHD1","Downregulated"
"CYB5B",1.25814894872737e-10,-0.334535122588409,0.081,0.112,2.29272482926588e-06,"CYB5B","Downregulated"
"ZNF831",1.26477215058319e-10,0.856500304027163,0.087,0.059,2.30479429000774e-06,"ZNF831","Upregulated"
"XRN1",1.33575209975183e-10,-0.356074748682644,0.048,0.072,2.43414105137775e-06,"XRN1","Downregulated"
"OS9",1.33995218295844e-10,-0.106038039969695,0.115,0.151,2.44179486300516e-06,"OS9","Not Significant"
"DTWD1",1.3485531422563e-10,-0.662560385896052,0.015,0.03,2.45746839113365e-06,"DTWD1","Downregulated"
"MRPL11",1.34990568268655e-10,-0.340449746878954,0.077,0.107,2.4599331255597e-06,"MRPL11","Downregulated"
"TTC7B",1.36580577090031e-10,-1.67473810028196,0.003,0.011,2.48890785631164e-06,"TTC7B","Downregulated"
"KLRK1",1.37955319007866e-10,-1.32929395505914,0.004,0.013,2.51395977828033e-06,"KLRK1","Downregulated"
"NRROS",1.39539358616829e-10,-0.633544202196648,0.014,0.029,2.54282573207448e-06,"NRROS","Downregulated"
"SNRNP70",1.41092598289682e-10,-0.195740800823838,0.131,0.168,2.57113041863288e-06,"SNRNP70","Not Significant"
"MILR1",1.44854657035908e-10,-0.594776186375545,0.016,0.032,2.63968641516535e-06,"MILR1","Downregulated"
"SS18",1.44924848733601e-10,-0.553497023296148,0.055,0.081,2.64096551847241e-06,"SS18","Downregulated"
"ZNF559",1.47502919149906e-10,-0.727340692870121,0.029,0.049,2.68794569566874e-06,"ZNF559","Downregulated"
"G3BP1",1.52364019763677e-10,-0.182582740468866,0.121,0.157,2.77652953215349e-06,"G3BP1","Not Significant"
"ZNF106",1.53072272129694e-10,-0.250676060522152,0.053,0.079,2.78943601501941e-06,"ZNF106","Downregulated"
"RAB37",1.55461466484602e-10,-0.835512229550423,0.03,0.051,2.8329743037489e-06,"RAB37","Downregulated"
"WDR92",1.56049771245873e-10,-1.12952352746043,0.013,0.027,2.84369498141355e-06,"WDR92","Downregulated"
"DENND5B",1.56633975366696e-10,-1.57053193831809,0.005,0.015,2.8543409331073e-06,"DENND5B","Downregulated"
"CPNE3",1.58528310996265e-10,-0.412929084977435,0.06,0.086,2.88886141128494e-06,"CPNE3","Downregulated"
"LINC00847",1.64023847656585e-10,-0.911324410448999,0.012,0.026,2.98900657584595e-06,"LINC00847","Downregulated"
"SORL1",1.6407219323684e-10,-0.493259822381017,0.054,0.08,2.98988757735494e-06,"SORL1","Downregulated"
"SLC9A9",1.65213317498866e-10,-0.475690634234387,0.015,0.03,3.01068228478184e-06,"SLC9A9","Downregulated"
"SH3BP5",1.65832179318079e-10,-0.351492723544621,0.037,0.059,3.02195980371336e-06,"SH3BP5","Downregulated"
"ACADVL",1.72353851551253e-10,-0.46128176665178,0.07,0.099,3.14080423681848e-06,"ACADVL","Downregulated"
"PRPF4B",1.72951957844312e-10,-0.265265119091058,0.078,0.109,3.15170352779689e-06,"PRPF4B","Downregulated"
"CHN2",1.76401265740956e-10,-1.4139910240547,0.003,0.012,3.21456026559745e-06,"CHN2","Downregulated"
"DGKE",1.76673248275244e-10,-0.877058073413125,0.014,0.029,3.21951660331977e-06,"DGKE","Downregulated"
