"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significance"
"ARHGEF3",3.0150235566925e-14,-0.696663784071094,0.051,0.081,5.49427742736075e-10,"ARHGEF3","Downregulated"
"PLEKHA1",3.12897946197012e-14,-0.82131883190858,0.021,0.042,5.70193927354816e-10,"PLEKHA1","Downregulated"
"ARMC1",3.1353729075065e-14,-0.870495806419517,0.029,0.053,5.71359004934909e-10,"ARMC1","Downregulated"
"TMEM134",3.24716936972385e-14,-0.412789936280147,0.081,0.117,5.91731674244776e-10,"TMEM134","Downregulated"
"CEP95",3.2928568851879e-14,-0.882910701183608,0.018,0.037,6.00057310187791e-10,"CEP95","Downregulated"
"PRSS57",3.30694639707385e-14,-1.57784414499155,0.004,0.015,6.02624841938768e-10,"PRSS57","Downregulated"
"MRPS10",3.32342842061893e-14,-0.275164425976224,0.058,0.09,6.05628361089388e-10,"MRPS10","Downregulated"
"RAD9A",3.47720932047319e-14,-0.585462547354387,0.043,0.071,6.33651854469829e-10,"RAD9A","Downregulated"
"TCF7",3.5891249561479e-14,-0.393258142792786,0.083,0.12,6.54046240758831e-10,"TCF7","Downregulated"
"PIGF",3.71669917502801e-14,-0.657793303834291,0.024,0.047,6.77294090665355e-10,"PIGF","Downregulated"
"KLHL9",3.76059181590994e-14,-0.785333442598142,0.015,0.033,6.85292646613268e-10,"KLHL9","Downregulated"
"SH2D1B",3.81372406924359e-14,-1.22638887892947,0.008,0.022,6.94974937138259e-10,"SH2D1B","Downregulated"
"AL627171.1",3.88964707315153e-14,-0.651097955047212,0.042,0.07,7.08810386140403e-10,"AL627171.1","Downregulated"
"C19orf25",3.90251366967777e-14,-0.393388685027492,0.065,0.098,7.11155066025381e-10,"C19orf25","Downregulated"
"DCLRE1C",3.94666148473844e-14,-0.995888119835316,0.02,0.041,7.19200122363885e-10,"DCLRE1C","Downregulated"
"DCAF13",4.05363287401611e-14,-0.305143337016594,0.066,0.1,7.38693518631956e-10,"DCAF13","Downregulated"
"OGG1",4.09027611947442e-14,-0.857527037097252,0.019,0.04,7.45371017251824e-10,"OGG1","Downregulated"
"PPFIA1",4.14841626883293e-14,-1.20099709764432,0.012,0.029,7.55965896669424e-10,"PPFIA1","Downregulated"
"VPS13C",4.29179664441624e-14,-0.411689307409259,0.063,0.096,7.82094102511972e-10,"VPS13C","Downregulated"
"PTGER2",4.30258053988593e-14,-0.358562681474923,0.082,0.119,7.84059251783413e-10,"PTGER2","Downregulated"
"PHIP",4.32538519827359e-14,-0.369385678538699,0.105,0.144,7.88214944681397e-10,"PHIP","Downregulated"
"SH2D3C",4.53400181534498e-14,-1.47542871756506,0.009,0.024,8.26231150810315e-10,"SH2D3C","Downregulated"
"TTC3",4.68928181493576e-14,-0.37352077108166,0.1,0.139,8.54527825135744e-10,"TTC3","Downregulated"
"TTLL7",4.7142367448652e-14,-1.23208023610755,0.014,0.032,8.59075362016785e-10,"TTLL7","Downregulated"
"MMP25-AS1",4.81378539348286e-14,-1.74914631214667,0.008,0.022,8.77216112254382e-10,"MMP25-AS1","Downregulated"
"ADAP2",4.84115610969796e-14,-0.665153439398893,0.016,0.035,8.82203877870259e-10,"ADAP2","Downregulated"
"RNF146",4.95742871178485e-14,-0.721491618247648,0.028,0.052,9.03392234148553e-10,"RNF146","Downregulated"
"TUT4",5.19482702994332e-14,-0.433273191697636,0.086,0.123,9.46653329666571e-10,"TUT4","Downregulated"
"CCDC28A",5.44555789250797e-14,-0.394144888633163,0.046,0.075,9.92344014751727e-10,"CCDC28A","Downregulated"
"RINL",5.59659929710936e-14,-0.852792110011349,0.023,0.045,1.01986828991224e-09,"RINL","Downregulated"
"NUPL2",5.78189163113469e-14,-0.413012725368415,0.035,0.061,1.05363411194167e-09,"NUPL2","Downregulated"
"DAXX",5.82253712992036e-14,-0.458688117880893,0.046,0.075,1.06104094118539e-09,"DAXX","Downregulated"
"OLFML3",6.01950243400166e-14,-1.10871214255849,0.012,0.028,1.09693392854812e-09,"OLFML3","Downregulated"
"MZT2A",6.08206220352847e-14,-0.458902341104025,0.105,0.144,1.10833419534899e-09,"MZT2A","Downregulated"
"FBXL5",6.34615124472331e-14,-0.444778874441738,0.071,0.106,1.15645914132593e-09,"FBXL5","Downregulated"
"STAT6",6.44786084471028e-14,-0.695729264843026,0.03,0.055,1.17499368173155e-09,"STAT6","Downregulated"
"PGF",6.53660442094262e-14,-1.30652726516486,0.005,0.017,1.19116542362837e-09,"PGF","Downregulated"
"CDC16",6.5531724513632e-14,-1.21249864416065,0.019,0.039,1.19418461581192e-09,"CDC16","Downregulated"
"NUDT3",6.67780065823553e-14,-1.22476814426837,0.013,0.031,1.21689561395026e-09,"NUDT3","Downregulated"
"UTRN",7.14479303654131e-14,-0.430818202586338,0.06,0.092,1.30199563504892e-09,"UTRN","Downregulated"
"NAA16",7.53755759249523e-14,-0.446418874791115,0.04,0.067,1.37356912008041e-09,"NAA16","Downregulated"
"PFDN6",7.66188495133601e-14,-0.34602103400424,0.05,0.08,1.39622529468196e-09,"PFDN6","Downregulated"
"CXCL10",7.66657193681242e-14,2.52085781312784,0.021,0.006,1.39707940404533e-09,"CXCL10","Upregulated"
"FAM217B",7.84703816069291e-14,-0.924049650197358,0.017,0.037,1.42996576402307e-09,"FAM217B","Downregulated"
"SENP6",8.20551492618033e-14,-0.676230328027217,0.046,0.075,1.49529098499784e-09,"SENP6","Downregulated"
"STX7",8.44968534738608e-14,-0.283175823292513,0.037,0.064,1.53978616085417e-09,"STX7","Downregulated"
"ISYNA1",8.578563693594e-14,-1.09090754801554,0.016,0.034,1.56327166188363e-09,"ISYNA1","Downregulated"
"SFXN5",8.65439780806453e-14,-1.03249634160604,0.011,0.027,1.5770909125636e-09,"SFXN5","Downregulated"
"NME3",8.84599984859938e-14,-0.339735612061528,0.09,0.128,1.61200655241027e-09,"NME3","Downregulated"
"PEX2",8.85560077909115e-14,-0.519326678599423,0.051,0.08,1.61375612997378e-09,"PEX2","Downregulated"
"BTN3A1",9.14566793310801e-14,-0.41381340950968,0.058,0.089,1.66661506745027e-09,"BTN3A1","Downregulated"
"IL4I1",9.19986251856994e-14,1.4095351408161,0.042,0.02,1.676490946759e-09,"IL4I1","Upregulated"
"P2RY11",9.28489049327865e-14,-1.11134466617076,0.013,0.03,1.69198559459017e-09,"P2RY11","Downregulated"
"NCKAP1L",9.2954955478453e-14,-0.531081897681285,0.065,0.098,1.69391815368385e-09,"NCKAP1L","Downregulated"
"CCDC144A",9.71939464924031e-14,-1.7791546864753,0.007,0.02,1.77116528693106e-09,"CCDC144A","Downregulated"
"MRPL23",9.94448865119707e-14,-1.9229588992836,0.011,0.026,1.81218416690764e-09,"MRPL23","Downregulated"
"NFATC3",1.01901447674682e-13,-0.704243674832428,0.045,0.073,1.85695008097574e-09,"NFATC3","Downregulated"
"PHLDA1",1.03766724460735e-13,1.00201037744145,0.091,0.058,1.89094101984797e-09,"PHLDA1","Upregulated"
"SLC26A2",1.05997299360591e-13,-0.829815934568638,0.016,0.034,1.93158878624804e-09,"SLC26A2","Downregulated"
"ZNF562",1.06818260988063e-13,-0.424888964738779,0.026,0.048,1.94654916998546e-09,"ZNF562","Downregulated"
"NCMAP",1.08378494600909e-13,-2.69708627425592,0.003,0.013,1.97498130711237e-09,"NCMAP","Downregulated"
"CHTF8",1.14249339871604e-13,-0.964868303163052,0.018,0.038,2.08196572048025e-09,"CHTF8","Downregulated"
"MINDY2",1.14465138088427e-13,-0.573532260468432,0.036,0.062,2.08589821138541e-09,"MINDY2","Downregulated"
"AC025569.1",1.17649397357782e-13,-3.08888510302849,0.001,0.01,2.14392496805087e-09,"AC025569.1","Downregulated"
"UBE2V2",1.19813303422284e-13,-0.331180767458559,0.085,0.121,2.18335782826427e-09,"UBE2V2","Downregulated"
"GPR174",1.20304241342213e-13,-0.586964510832187,0.045,0.073,2.19230418997915e-09,"GPR174","Downregulated"
"ARL5A",1.23563904947064e-13,-1.08527696704931,0.018,0.037,2.25170503985034e-09,"ARL5A","Downregulated"
"SRGAP2B",1.2417419702061e-13,-0.492320626560595,0.017,0.036,2.26282639230658e-09,"SRGAP2B","Downregulated"
"SAMD3",1.27917651300003e-13,-0.545790948920293,0.067,0.099,2.33104335963996e-09,"SAMD3","Downregulated"
"TENT2",1.32936681194905e-13,-0.452781861406784,0.054,0.084,2.42250514141475e-09,"TENT2","Downregulated"
"AC092683.1",1.34563607911743e-13,-1.02930055034708,0.013,0.03,2.45215262697569e-09,"AC092683.1","Downregulated"
"NOL8",1.35300724544117e-13,-0.734170569811164,0.027,0.05,2.46558510336744e-09,"NOL8","Downregulated"
"RNF130",1.38536068070214e-13,-0.546992821367051,0.039,0.065,2.52454276844351e-09,"RNF130","Downregulated"
"MAT2B",1.39456835654994e-13,-0.255950565099263,0.091,0.129,2.54132191614096e-09,"MAT2B","Downregulated"
"PKN2",1.45907946074505e-13,-0.532554751679146,0.033,0.057,2.6588805013157e-09,"PKN2","Downregulated"
"CEP135",1.46613984412046e-13,-0.79817884034006,0.021,0.041,2.67174663794072e-09,"CEP135","Downregulated"
"GON4L",1.51983247811732e-13,-0.501636957100492,0.05,0.08,2.76959072487319e-09,"GON4L","Downregulated"
"PIGM",1.55018409583462e-13,-1.41458408458267,0.006,0.019,2.82490047783943e-09,"PIGM","Downregulated"
"CNOT7",1.57640877049586e-13,-0.262623860881886,0.11,0.15,2.8726897024746e-09,"CNOT7","Downregulated"
"CCPG1",1.59153852820251e-13,-0.476772298111724,0.046,0.075,2.90026065994344e-09,"CCPG1","Downregulated"
"GPR35",1.62280084079181e-13,1.47836436797676,0.041,0.019,2.95722997217492e-09,"GPR35","Upregulated"
"ITPR2",1.74887101677273e-13,-0.710158338999952,0.023,0.045,3.18696765386494e-09,"ITPR2","Downregulated"
"SMARCE1",1.84466750164642e-13,-0.518793776824167,0.029,0.052,3.36153758825027e-09,"SMARCE1","Downregulated"
"CXXC5",1.93285420108027e-13,-1.08848634726758,0.01,0.025,3.52224021062857e-09,"CXXC5","Downregulated"
"SGK1",1.93627706173451e-13,1.22754693497328,0.15,0.113,3.52847768959881e-09,"SGK1","Upregulated"
"EXOSC1",1.93636753804421e-13,-0.327025684977625,0.071,0.104,3.52864256457796e-09,"EXOSC1","Downregulated"
"GTF3A",1.98246270126372e-13,-0.266518530822693,0.207,0.257,3.61264178051288e-09,"GTF3A","Downregulated"
"PIAS1",2.04339000854096e-13,-0.361286688428221,0.068,0.101,3.72366961256419e-09,"PIAS1","Downregulated"
"A2M",2.09221198276778e-13,-0.809706755699436,0.018,0.037,3.81263789619773e-09,"A2M","Downregulated"
"RNASEH2C",2.21510376790752e-13,-0.324778137207978,0.091,0.128,4.03658359625788e-09,"RNASEH2C","Downregulated"
"C1orf56",2.23756604914047e-13,1.52963505865368,0.186,0.151,4.07751661134868e-09,"C1orf56","Upregulated"
"RBM41",2.34539417372777e-13,-1.11819521481467,0.011,0.026,4.27401180278412e-09,"RBM41","Downregulated"
"IRF2",2.48083044503613e-13,-0.439740710295805,0.075,0.109,4.52081731998934e-09,"IRF2","Downregulated"
"KDELR1",2.55142892683056e-13,-0.417604975039287,0.068,0.101,4.64946893336333e-09,"KDELR1","Downregulated"
"MRS2",2.56758015137622e-13,-0.791281716381011,0.024,0.045,4.67890130985288e-09,"MRS2","Downregulated"
"TSPAN31",2.61086902750811e-13,-0.518589493452269,0.03,0.053,4.75778662882803e-09,"TSPAN31","Downregulated"
"ATXN2",2.64764940944171e-13,-0.591669944715892,0.041,0.067,4.82481151882563e-09,"ATXN2","Downregulated"
"CLIP1",2.69900800713512e-13,-0.540203106283973,0.05,0.079,4.91840229140233e-09,"CLIP1","Downregulated"
"PTDSS1",2.90654478712748e-13,-0.468890812664946,0.051,0.081,5.29659656558241e-09,"PTDSS1","Downregulated"
"TMEM19",2.92952629829492e-13,-0.560756708192988,0.027,0.05,5.33847577338283e-09,"TMEM19","Downregulated"
"MUM1",3.03212304027608e-13,0.289676364263308,0.036,0.062,5.52543781629509e-09,"MUM1","Upregulated"
"SRGAP1",3.09172257742536e-13,-0.284493807232144,0.019,0.038,5.63404605284223e-09,"SRGAP1","Downregulated"
"ERV3-1",3.1052346687225e-13,-0.53309785588966,0.047,0.075,5.65866913681302e-09,"ERV3-1","Downregulated"
"BET1",3.21350945808906e-13,-0.646358195420538,0.021,0.041,5.85597828547569e-09,"BET1","Downregulated"
"HDAC2",3.42291853505462e-13,-0.325048243612909,0.074,0.108,6.23758444643003e-09,"HDAC2","Downregulated"
"AP1B1",3.50785880503526e-13,-0.566284533781482,0.026,0.049,6.39237110041575e-09,"AP1B1","Downregulated"
"TRIM8",3.52873884666243e-13,-0.74613183501379,0.024,0.046,6.43042080027294e-09,"TRIM8","Downregulated"
"JAKMIP2",3.55929633571908e-13,-1.1634041503912,0.011,0.026,6.48610571258088e-09,"JAKMIP2","Downregulated"
"KANK2",3.58013677982288e-13,-1.59608341542224,0.004,0.014,6.52408325387123e-09,"KANK2","Downregulated"
"WASHC4",3.62155217230694e-13,-0.510785965829092,0.041,0.067,6.59955452359493e-09,"WASHC4","Downregulated"
"PARP14",3.62868299194175e-13,-0.384822417420719,0.05,0.079,6.61254901621544e-09,"PARP14","Downregulated"
"SUPT16H",3.64933782961801e-13,-0.35302039846466,0.05,0.079,6.6501883269129e-09,"SUPT16H","Downregulated"
"ZNF146",3.80906034022521e-13,-0.664802773594663,0.033,0.057,6.94125065799239e-09,"ZNF146","Downregulated"
